phaseNumber,nSpikesPerBurst_20190603_slice2,nSpikesPerBurst_20190603_slice3,nSpikesPerBurst_20190603_slice6,nSpikesPerBurst_20190605_slice3,nSpikesPerBurst_20190605_slice4,nSpikesPerBurst_20190606_slice5,nSpikesPerBurst_20190606_slice7
1,14.4832972419737,11.327197272259,11.9859090909091,20.2707936507937,30.1421534391534,16.8646321686569,10.6106376811594
2,24.4669696969697,11.1108218783505,10.3731623931624,17.2552043010753,36.8108251397725,15.169532428356,10.217953730857
3,28.063258636788,9.20995744493197,11.2412787212787,22.6396739811912,24.6090328930329,17.4843493761141,11.1505376344086
