phaseNumber,oscPeriod1Ms_20190603_slice2,oscPeriod1Ms_20190603_slice3,oscPeriod1Ms_20190603_slice6,oscPeriod1Ms_20190605_slice3,oscPeriod1Ms_20190605_slice4,oscPeriod1Ms_20190606_slice5,oscPeriod1Ms_20190606_slice7
1,698,472,474,486,422,460,442
2,0,492,524,480,428,448,436
3,NaN,484,NaN,478,474,436,456
