Time,oscDurationSec_20190603_slice2,phaseNumber_20190603_slice2,oscDurationSec_20190603_slice3,phaseNumber_20190603_slice3,oscDurationSec_20190603_slice6,phaseNumber_20190603_slice6,oscDurationSec_20190605_slice3,phaseNumber_20190605_slice3,oscDurationSec_20190605_slice4,phaseNumber_20190605_slice4,oscDurationSec_20190606_slice5,phaseNumber_20190606_slice5,oscDurationSec_20190606_slice7,phaseNumber_20190606_slice7
37 min,1.7023,3,7.4923,3,1.5023,3,2.3523,3,5.9323,3,5.7223,3,3.4923,3
38 min,2.8623,3,3.9623,3,1.9523,3,3.6723,3,6.0523,3,4.6723,3,3.9723,3
39 min,1.5923,3,3.5023,3,1.8923,3,3.5323,3,5.7723,3,5.2823,3,4.1723,3
40 min,2.0023,3,2.4523,3,1.8823,3,5.5723,3,5.9023,3,4.6223,3,4.1323,3
41 min,2.4023,3,4.5123,3,1.5223,3,5.1023,3,6.3823,3,4.5523,3,4.9023,3
42 min,1.5523,3,3.3923,3,1.5223,3,5.1123,3,55.4323,3,5.2723,3,3.9323,3
43 min,3.0123,3,5.3723,3,1.8523,3,4.9523,3,0.232300000000004,3,5.7023,3,5.1923,3
44 min,2.0423,3,3.9523,3,1.8623,3,4.4423,3,1.1123,3,5.6123,3,4.7123,3
45 min,1.4923,3,6.4223,3,1.5323,3,5.6023,3,2.6423,3,5.6023,3,4.4523,3
46 min,2.5223,3,5.4223,3,1.4523,3,4.5723,3,8.1123,3,6.8123,3,3.9323,3
47 min,1.5623,3,4.4223,3,1.9223,3,4.5623,3,7.8223,3,4.6723,3,5.1323,3
48 min,2.3623,3,4.5323,3,1.4223,3,5.6723,3,7.4423,3,5.0023,3,4.7223,3
49 min,2.0623,3,4.4323,3,1.8923,3,5.0023,3,8.0823,3,5.5923,3,4.8623,3
