phaseNumber,oscPeriod2Ms_20190603_slice2,oscPeriod2Ms_20190603_slice3,oscPeriod2Ms_20190603_slice6,oscPeriod2Ms_20190605_slice3,oscPeriod2Ms_20190605_slice4,oscPeriod2Ms_20190606_slice5,oscPeriod2Ms_20190606_slice7
1,720.000052770821,492.198323598766,461.000101624067,486.100039643776,418.218162765183,479.759587152902,446.380944494422
2,0,485.866522276838,462.999995006183,479.761901949138,430.291009837786,443.105978167671,451.166637558479
3,NaN,475.644451028079,NaN,475.972081563339,473.133473846342,470.373033247717,455.955438399068
