Time,oscIndex2_20190603_slice2,phaseNumber_20190603_slice2,oscIndex2_20190603_slice3,phaseNumber_20190603_slice3,oscIndex2_20190603_slice6,phaseNumber_20190603_slice6,oscIndex2_20190605_slice3,phaseNumber_20190605_slice3,oscIndex2_20190605_slice4,phaseNumber_20190605_slice4,oscIndex2_20190606_slice5,phaseNumber_20190606_slice5,oscIndex2_20190606_slice7,phaseNumber_20190606_slice7
-20 min,0.957369085757914,1,0.882300953870275,1,0.947987638454229,1,0.952899187610893,1,0.683920259685406,1,0.87992628271639,1,0.869980046728413,1
-19 min,0.553605134090286,1,0.870860845428511,1,0.713249418298917,1,0.796712985149649,1,0.836147967904401,1,0.905908741236962,1,0.982814474391316,1
-18 min,0.543191754386935,1,0.899627354210963,1,0.71733816483701,1,0.925678378873961,1,0.79592315901177,1,0.980505225320399,1,0.914722566760483,1
-17 min,0.580383239181141,1,0.908782451417233,1,0.638412490054277,1,0.892427380611175,1,0.749384443409904,1,0.981504013722534,1,0.916935649859953,1
-16 min,0.618093465656511,1,0.954505328851879,1,0.788656491924551,1,0.815031852385751,1,0.875757604040045,1,0.93785188839528,1,0.959187805141797,1
-15 min,0.5886465713767,1,0.898817379484047,1,0.756017326691225,1,0.917675307518996,1,0.880604458565217,1,0.971895211504383,1,0.920206674956516,1
-14 min,0.548838633211152,1,0.91005034194946,1,0.650786799000421,1,0.837262055623272,1,0.732797556990556,1,0.934603762192506,1,0.87785629712824,1
-13 min,0.5833135362302,1,0.982926400777114,1,0.535347688621871,1,0.767754560707844,1,0.873939401565634,1,0.891248283958453,1,0.944043890111238,1
-12 min,0.458962885651803,1,0.896059568462511,1,0.885438291171923,1,0.769266969626557,1,0.732733891757431,1,0.949833887946455,1,0.975895585552841,1
-11 min,0.604262964806011,1,0.939913386322724,1,0.599828843786824,1,0.683568264254688,1,0.828386545076076,1,0.955930267913272,1,0.902608373714282,1
-10 min,0.528282638352918,1,0.856097675989722,1,0.9181943769636,1,0.80424336866031,1,0.787215411128873,1,0.993104582900545,1,0.983428175142413,1
-9 min,0.575277706716176,1,0.913703092908326,1,0.753714553836264,1,0.647940936223352,1,0.845589153030522,1,0.974018273081438,1,0.973760909041248,1
-8 min,0.70740575880338,1,0.954027300148744,1,0.690546338868935,1,0.882455414089241,1,0.847409208554298,1,0.913879762310755,1,0.859227007903733,1
-7 min,0.661804775315541,1,0.941870751440844,1,0.655077303619581,1,0.687471855642021,1,0.673370486190878,1,0.986586686728555,1,0.908461187621949,1
-6 min,0.553227906706059,1,0.960691998489358,1,0.829493896926268,1,0.840996061839772,1,0.799826429690116,1,0.967955327762857,1,0.962673009223799,1
-5 min,0.433421330276832,1,0.864921013442662,1,0.839180245536132,1,0.876870428758554,1,0.90069517199758,1,0.992319142417262,1,0.883181176536877,1
-4 min,0.518437843113521,1,0.944644217173515,1,0.83081851165209,1,0.722699375425822,1,0.729861429968295,1,0.985698502175076,1,0.982997053278528,1
-3 min,0.551961319635934,1,0.953559166754261,1,0.726578281277023,1,0.831194065248759,1,0.751924147083303,1,0.990886423461544,1,0.925353217941346,1
-2 min,0.450999456488029,1,0.937823100738024,1,0.721074761523402,1,0.696722894574672,1,0.898529568183977,1,0.976842597086303,1,0.738549965580604,1
-1 min,0.575239812736522,1,0.919729788579882,1,0.767012267181855,1,0.804037079876145,1,0.893880712919212,1,0.982119473202329,1,0.780298372001209,1
0 min,0.742095571511688,2,0.944293425886335,2,0.612931374048309,2,0.87572858466641,2,0.778954253707559,2,0.958086310733659,2,0.87412171419177,2
1 min,0.76133088468171,2,0.990849360106493,2,0.814671433348287,2,0.740023293770919,2,0.879058388593318,2,0.865760667986795,2,0.820094541223582,2
2 min,0.661309592611975,2,0.927246194666507,2,0.927194400834682,2,0.887737777130021,2,0.872881843214655,2,0.835879893530549,2,0.891678529504364,2
3 min,0.826160303199244,2,0.958623303220077,2,0.867523897468089,2,0.770971074955187,2,0.728267467693938,2,0.973225011187935,2,0.947694758609846,2
4 min,0.677179468034813,2,0.933126149891358,2,0.698978066195019,2,0.86774827019754,2,0.877440222209624,2,0.968261911141686,2,0.921453570580503,2
5 min,0.461548471453486,2,0.951119517797474,2,0.704267066365012,2,0.718435097397179,2,0.705371281995142,2,0.895953405161307,2,0.830841013693622,2
6 min,0.419041109105778,2,0.916196370200169,2,0.764562093458217,2,0.840889913001347,2,0.727751288987648,2,0.914994905701888,2,0.956414248698901,2
7 min,0.647223137745592,2,0.947897540455816,2,0.673088434218376,2,0.667993607388013,2,0.888021727344259,2,0.947190730666488,2,0.951500843727877,2
8 min,0.679312789272069,2,0.861685687428857,2,0.831036954413676,2,0.773170623732223,2,0.817625933766953,2,0.850372521574062,2,0.879143787717473,2
