Time,oscPeriod2Ms_20190603_slice2,phaseNumber_20190603_slice2,oscPeriod2Ms_20190603_slice3,phaseNumber_20190603_slice3,oscPeriod2Ms_20190603_slice6,phaseNumber_20190603_slice6,oscPeriod2Ms_20190605_slice3,phaseNumber_20190605_slice3,oscPeriod2Ms_20190605_slice4,phaseNumber_20190605_slice4,oscPeriod2Ms_20190606_slice5,phaseNumber_20190606_slice5,oscPeriod2Ms_20190606_slice7,phaseNumber_20190606_slice7
-20 min,690,1,471.428589594906,1,664.999647998741,1,463.332724499479,1,403.749937906998,1,594.999963632515,1,381.249829941811,1
-19 min,570.00004476506,1,469.090989485141,1,690.000044301614,1,439.999963877997,1,404.999963429157,1,465.999845350469,1,421.666661731681,1
-18 min,569.999982423659,1,474.999911875714,1,473.333234889323,1,434.999821065148,1,417.646851215917,1,480.000125277059,1,433.333138596308,1
-17 min,619.999805822151,1,470.000000483983,1,669.9999833689,1,444.999892007469,1,397.142980204172,1,478.750186412905,1,432.499803922942,1
-16 min,1184.99942746205,1,474.00001994087,1,420.000133887731,1,462.222188457135,1,409.091283501207,1,474.444290920072,1,429.999827517304,1
-15 min,559.999916242002,1,481.000108615845,1,472.500160000036,1,455.714355338624,1,410.83337334915,1,471.818024895719,1,446.666613390641,1
-14 min,625.000012578093,1,468.000106836564,1,635.000085324536,1,463.74962338083,1,399.999629855998,1,470.769252168505,1,447.500352743155,1
-13 min,604.999911271755,1,474.000156023854,1,659.999993361742,1,460.000192403974,1,431.905061296602,1,438.181636241381,1,443.75000366617,1
-12 min,659.999855633439,1,481.666590554178,1,810,1,475.45448257905,1,507.500337908662,1,475.7142405653,1,440.000074662664,1
-11 min,1100.00005874039,1,479.999854425842,1,819.999448605674,1,483.33359754608,1,415.454392517121,1,465.714489407733,1,453.333636466675,1
-10 min,879.999918843105,1,483.333575899228,1,875.00010364223,1,473.749974232016,1,409.090844453745,1,471.428689900672,1,376.923009869273,1
-9 min,724.99974075041,1,479.999705006754,1,889.99990732556,1,481.111320893109,1,412.49993128802,1,538.571483510849,1,438.571517821805,1
-8 min,700.000060379223,1,477.499899611674,1,734.999425406238,1,487.500431125866,1,424.285933143233,1,534.999889616398,1,445.999841177194,1
-7 min,660,1,479.99994976241,1,779.999390227028,1,454.166651622857,1,448.181775814902,1,464.285729543217,1,445.000136846112,1
-6 min,640,1,475.000042383787,1,593.333656494807,1,489.999721136362,1,415.999759528892,1,466.000270575198,1,441.666497728205,1
-5 min,720.000029257799,1,477.777947719781,1,464.999849551532,1,477.499954958634,1,422.000003387887,1,466.00008532328,1,469.999808480914,1
-4 min,1029.99949195243,1,476.249762014283,1,457.499862835276,1,481.999927380079,1,415.833340958116,1,533.750118143727,1,443.333403774405,1
-3 min,715.00018202369,1,482.856792909101,1,457.500103564401,1,498.750041644631,1,419.090789625486,1,395.833355990149,1,440.000011926027,1
-2 min,705.0001708611,1,552.857237721679,1,475.000149225755,1,496.000424376085,1,419.166653238139,1,537.500284051649,1,448.571753556398,1
-1 min,819.999881711517,1,471.249877628987,1,450.00054294337,1,476.24984985945,1,415.000026616289,1,465.714092255704,1,429.999744734366,1
0 min,1389.99985863427,2,485.000221406554,2,849.999933264757,2,472.00005936497,2,425.555647544875,2,469.999858187997,2,428.571353612046,2
1 min,704.99996029589,2,480.00014391679,2,450,2,499.090796230021,2,427.499790315802,2,454.999865533613,2,445.99980488873,2
2 min,1019.99994770779,2,481.110857249534,2,480,2,478.000097615286,2,414.999697044791,2,505.999831161905,2,339.999908837415,2
3 min,925.000021043912,2,487.142645466351,2,457.500181386455,2,476.000145335283,2,417.500234520686,2,466.666372304179,2,438.333491573324,2
4 min,820,2,475.000054646479,2,466.666710155893,2,480.000611762368,2,419.166776448804,2,462.856816984786,2,506.250070123612,2
5 min,479.999933248551,2,482.500299131394,2,884.999308142205,2,494.444484001235,2,413.999820784687,2,462.857302263451,2,454.999940238547,2
6 min,779.999625499253,2,478.000568119627,2,890.000393262956,2,480.000273374546,2,419.23098810353,2,462.499991581048,2,454.000029210854,2
7 min,1479.99997816413,2,483.333579688271,2,470.000032463477,2,492.499888607728,2,419.999999158825,2,471.249826922274,2,435.00006803935,2
8 min,880,2,477.500484513803,2,450.00016790701,2,480.000258441756,2,439.999725894964,2,386.922937385123,2,442.500158929886,2
9 min,769.999880740644,2,476.999647242477,2,659.999731669743,2,487.50021752089,2,426.666366836791,2,472.222184064795,2,442.307658351722,2
10 min,709.999742739566,2,474.285890301621,2,583.333413339379,2,483.749514098608,2,420.000066575703,2,522.142782124353,2,444.999829561874,2
11 min,670.000266204099,2,475.714589181993,2,463.333243993847,2,484.999857454276,2,427.499811280494,2,530.000085736788,2,460.000230800032,2
12 min,650,2,477.500060001679,2,143.333094258131,2,500.000485485997,2,419.999871603655,2,534.286005164708,2,456.363609683122,2
13 min,619.999931309923,2,486.666433649551,2,465.000147031072,2,488.000046890626,2,434.999846064036,2,461.250031335571,2,454.999630536296,2
14 min,760.000121848091,2,482.500034126835,2,479.999927414177,2,484.00037868102,2,363.333333146925,2,469.99997921679,2,462.222079713976,2
15 min,695.000076635288,2,479.999986700405,2,465.000044890216,2,493.75005571719,2,426.363734279323,2,473.333266920615,2,505.454818601834,2
16 min,0,2,479.999716149738,2,444.999867269935,2,470.000068417099,2,433.636646990365,2,466.000016443074,2,480.000118492204,2
17 min,0,2,479.999935642062,2,459.999817946289,2,496.666701739321,2,418.749737093177,2,482.727215763205,2,511.249844796456,2
18 min,610,2,477.142930717485,2,650.000020309295,2,487.499654532911,2,426.249927133819,2,592.500061563157,2,467.500016048723,2
19 min,620,2,475.714375086243,2,980,2,474.99997919957,2,433.333327422834,2,462.499930074887,2,442.857353500211,2
20 min,749.999981257651,2,480.000185036659,2,459.999646274301,2,486.666925220968,2,429.999863147894,2,483.333446287876,2,440.00020154657,2
21 min,749.999959230754,2,486.99999333333,2,704.99945207384,2,489.999549402013,2,428.000130020088,2,534.28544569127,2,450.000017124944,2
22 min,0,2,493.333152818309,2,630,2,483.333167925705,2,428.889018930502,2,393.636299761718,2,522.856997015278,2
23 min,0,2,488.333260563938,2,453.333194607055,2,478.000072365164,2,437.777560017586,2,457.500111930987,2,432.999936669609,2
24 min,1489.99963305965,2,493.333441083059,2,670.000282783923,2,483.999827525334,2,598.333455895685,2,458.999761451619,2,459.090587346378,2
25 min,1260,2,493.33313878882,2,440.000094124899,2,481.428723996486,2,431.000161264767,2,453.333271808635,2,416.666762484492,2
26 min,0,2,486.666580429854,2,469.999806914808,2,465.000175296977,2,434.000082222211,2,386.363485796234,2,469.999825342753,2
27 min,0,2,485.999830580613,2,485.000173067023,2,483.333424515211,2,421.000310737684,2,455.000047238819,2,457.499953746565,2
28 min,0,2,479.999903257161,2,699.999597293655,2,485.714076408981,2,435.454493195143,2,457.499971223419,2,454.999925995667,2
29 min,0,2,483.333158327742,2,466.666706317129,2,483.333109528037,2,430.000001769126,2,463.333114771246,2,456.666720222917,2
30 min,0,3,487.778040382415,3,444.99990973822,3,479.999914803733,3,434.166733619418,3,461.110988161855,3,405.555704210337,3
31 min,620,3,479.999888756541,3,453.333063629372,3,487.14268749706,3,450.000227121496,3,456.250078231609,3,451.250013096157,3
32 min,730,3,481.428872386587,3,469.99999205916,3,480.000117048226,3,424.285638768213,3,456.666584958575,3,436.666787334972,3
33 min,685.000249325201,3,501.428895789585,3,470.000179367202,3,492.000112434817,3,439.090995317121,3,436.875066291859,3,349.285705347358,3
34 min,0,3,472.000137368943,3,1320.00004274702,3,378.889337039926,3,437.499828518589,3,445.000092319126,3,417.49986512517,3
35 min,920,3,466.666306149905,3,473.333119237544,3,685.000048213984,3,427.499864808957,3,451.42878077004,3,446.666586799801,3
36 min,1290,3,482.499978636803,3,453.33328032175,3,600.00025020502,3,430.000318458197,3,456.666657352318,3,363.333254286808,3
37 min,610,3,482.499680322317,3,456.666442230621,3,536.666699462599,3,424.444533548007,3,452.222436744274,3,419.99998630578,3
38 min,1380,3,492.499687835799,3,715.000227831934,3,494.999972933066,3,497.499724452304,3,448.000096571709,3,379.999844512949,3
39 min,540,3,476.666668390996,3,490,3,475.999764159703,3,426.249923055504,3,457.000062391321,3,491.249946688445,3
40 min,590,3,466.666695471466,3,510,3,479.999791405248,3,437.000046007203,3,448.888661703015,3,775.000008436395,3
