phaseNumber,nSpikesPerBurstIn10s_20190603_slice2,nSpikesPerBurstIn10s_20190603_slice3,nSpikesPerBurstIn10s_20190603_slice6,nSpikesPerBurstIn10s_20190605_slice3,nSpikesPerBurstIn10s_20190605_slice4,nSpikesPerBurstIn10s_20190606_slice5,nSpikesPerBurstIn10s_20190606_slice7
1,15.2173701298701,13.4778528317228,11.9859090909091,20.7158933658934,30.1421534391534,17.3302754435107,10.4291259968102
2,27.3003174603175,11.3590036965323,10.8305050505051,16.74175,37.849703804967,19.086736110052,10.8320305620306
3,30.055772005772,9.00541347631478,11.2412787212787,24.7300220247589,25.5628571428571,19.362231884058,10.8664319923372
