Time,oscIndex4_20190603_slice2,phaseNumber_20190603_slice2,oscIndex4_20190603_slice3,phaseNumber_20190603_slice3,oscIndex4_20190603_slice6,phaseNumber_20190603_slice6,oscIndex4_20190605_slice3,phaseNumber_20190605_slice3,oscIndex4_20190605_slice4,phaseNumber_20190605_slice4,oscIndex4_20190606_slice5,phaseNumber_20190606_slice5,oscIndex4_20190606_slice7,phaseNumber_20190606_slice7
-20 min,0.193019010820012,1,0.475748736372092,1,0.0981115460358147,1,0.221756728423409,1,0.597481500623594,1,0.384482817556337,1,0.238822259080042,1
-19 min,0.153202960911434,1,0.499613318104588,1,0.0897185485670952,1,0.311460617557028,1,0.615221645720245,1,0.47702533949051,1,0.333467773975817,1
-18 min,0.0279673234114771,1,0.501297745906675,1,0.18761280412175,1,0.32693465207986,1,0.569305221524871,1,0.527573180069596,1,0.401942912697112,1
-17 min,0.084558234174375,1,0.44533844420195,1,0.110209137198112,1,0.415187650307406,1,0.523976729736369,1,0.540079501361049,1,0.302879268336874,1
-16 min,0.0455076089373006,1,0.41845836216696,1,0.181681362420595,1,0.454752107607742,1,0.636815724484184,1,0.534814780309972,1,0.405639834777395,1
-15 min,0.046683168110773,1,0.478377452631768,1,0.144098472459353,1,0.482352996439156,1,0.631144306567193,1,0.514238269435531,1,0.340879468974749,1
-14 min,0.055698260071281,1,0.326518323076604,1,0.125617922397195,1,0.477718688781485,1,0.576341030945308,1,0.451099207526331,1,0.263293534920565,1
-13 min,0.101809856308452,1,0.48739728992211,1,0.0704501061710535,1,0.177229659969012,1,0.541653038333269,1,0.562404083518524,1,0.390037984224549,1
-12 min,0.0392598924146227,1,0.497098600585408,1,0.116654742400656,1,0.561194589506984,1,0.596530152663612,1,0.615264568714655,1,0.40331735419369,1
-11 min,0.0403469275379411,1,0.500018682852724,1,0.179529274027081,1,0.57047229269114,1,0.610514715478929,1,0.63222510444855,1,0.446731038369226,1
-10 min,0.093874971876093,1,0.464227767547455,1,0.11711069991968,1,0.53150715774387,1,0.617782868568489,1,0.659540484196618,1,0.357336148284765,1
-9 min,0.0676221790835198,1,0.485857784010648,1,0.0976753911120554,1,0.454796533827968,1,0.618779891243318,1,0.570621787814602,1,0.216813900809895,1
-8 min,0.0698461659530267,1,0.431765411586281,1,0.0710150179844252,1,0.539801255425105,1,0.652891443971005,1,0.529927983805408,1,0.245245414511575,1
-7 min,0.0347074837362014,1,0.418880254850916,1,0.118091967310613,1,0.502031619964893,1,0.644398078534948,1,0.614607920713551,1,0.414657650555917,1
-6 min,0.162962968129325,1,0.452412985954299,1,0.141746586969216,1,0.50914568652445,1,0.57320596637052,1,0.531910111910919,1,0.411606815462542,1
-5 min,0.041213635601869,1,0.331834885801212,1,0.24762617302028,1,0.482923527368357,1,0.583949663271175,1,0.608623723139845,1,0.247866544968729,1
-4 min,0.063601887407518,1,0.393751431957419,1,0.153099197965784,1,0.543521566199801,1,0.606046579793128,1,0.584974823059727,1,0.467675028746022,1
-3 min,0.0553348310497062,1,0.382553057464624,1,0.144093121373254,1,0.544787500278853,1,0.652187691904269,1,0.5112877432948,1,0.31240597808947,1
-2 min,0.0555432612873002,1,0.392118986242142,1,0.199863219308717,1,0.530498057152109,1,0.593831431914051,1,0.623270166402596,1,0.340636451068395,1
-1 min,0.0830537919264481,1,0.352875792754269,1,0.139302744181661,1,0.427061618764994,1,0.640539921707046,1,0.546963113883832,1,0.229833523596078,1
0 min,0.0966134062868199,2,0.389063872986675,2,0.0992129739114214,2,0.53453236483123,2,0.584619570643978,2,0.538126542889486,2,0.313760250530349,2
1 min,0.0847982486161969,2,0.446639895724393,2,0.102726037292524,2,0.544194722538147,2,0.616676627733828,2,0.571122339167969,2,0.316021302092053,2
