phaseNumber,phaseName,filtFreq_1,filtFreq_2,signal2Noise,minDelayMs,binWidthMs,binWidthSec,filterWidthMs,minRelProm,minSpikeRateInBurstHz,minBurstLengthMs,maxInterBurstIntervalMs,maxInterBurstIntervalSec,resolutionMs,siMs,minTimeMs,maxTimeMs,siSeconds,minTimeSec,maxTimeSec,idxStimStart,stimStartMs,stimStartSec,baseWindow_1,baseWindow_2,baseSlopeNoise,slopeThreshold,idxDetectStart,detectStartMs,detectStartSec,nSpikesTotal,idxFirstSpike,firstSpikeMs,firstSpikeSec,vMin,vMax,vRange,slopeMin,slopeMax,slopeRange,nBins,halfNBins,histLeftMs,histLeftSec,nSpikesPerBurst,nSpikesPerBurstIn10s,nSpikesPerBurstInOsc,nSpikesIn10s,nSpikesInOsc,nBurstsTotal,nBurstsIn10s,nBurstsInOsc,iBinLastOfLastBurst,iBinLastOfLastBurstIn10s,iBinLastOfLastBurstInOsc,timeOscEndMs,timeOscEndSec,oscDurationMs,oscDurationSec,oscIndex1,oscIndex2,oscIndex3,oscIndex4,oscPeriod1Ms,oscPeriod2Ms,minOscPeriod2Bins,maxOscPeriod2Bins,figPathBase,figTitleBase
1,baseline,100,1000,2.05230041256278,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.10552148111236,2.26886219178392,29627,2962.7,2.9627,154,29637,2963.7,2.9637,-3.2390087751013,3.39772942089886,6.63673819600015,-11.6591428428594,10.9134171827523,22.5725600256117,5670,2835,2960,2.96,10.5,13.5714285714286,13.5714285714286,111,102,10,7,7,2066,188,188,4840,4.84,1902.3,1.9023,0.978512407682656,0.952899187610893,0.899280443191059,0.221756728423409,410,463.332724499479,27.3333333333333,61.5,20190605_slice3_trace1,20190605\_slice3\_trace1
1,baseline,100,1000,2.05230041256278,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.09400273804646,2.24522227063756,29627,2962.7,2.9627,190,29635,2963.5,2.9635,-2.85981822591054,2.73303576753344,5.59285399344398,-9.95906202282703,7.18087697146179,17.1399389942888,5545,2772,2960,2.96,11.1538461538462,12.8181818181818,12.8181818181818,156,150,13,11,11,3558,238,238,5340,5.34,2402.3,2.4023,0.937746776080205,0.796712985149649,0.795454364471354,0.311460617557028,420,439.999963877997,28,63,20190605_slice3_trace2,20190605\_slice3\_trace2
1,baseline,100,1000,2.05230041256278,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.10041099731529,2.2583739437788,29627,2962.7,2.9627,266,29649,2964.9,2.9649,-3.46376275592067,3.25391054544123,6.7176733013619,-12.1029779633448,8.4108729238881,20.5138508872329,5612,2806,2960,2.96,10.8,11.2631578947368,11.2631578947368,228,223,20,19,19,1181,381,381,6770,6.77,3832.3,3.8323,0.965300010384808,0.925678378873961,0.894909644784798,0.32693465207986,420,434.999821065148,28,63,20190605_slice3_trace3,20190605\_slice3\_trace3
1,baseline,100,1000,2.05230041256278,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.09688594002824,2.25113946725427,29627,2962.7,2.9627,280,29635,2963.5,2.9635,-3.98805023932747,3.12241877023599,7.11046900956346,-9.3885567163761,7.78128694638295,17.169843662759,5695,2847,2960,2.96,11.0952380952381,12.6111111111111,12.6111111111111,238,235,21,18,18,4172,341,341,6370,6.37,3432.3,3.4323,0.940216981849533,0.892427380611175,0.858747959300431,0.415187650307406,430,444.999892007469,28.6666666666667,64.5,20190605_slice3_trace4,20190605\_slice3\_trace4
1,baseline,100,1000,2.05230041256278,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.08683749679046,2.23051704305176,29627,2962.7,2.9627,422,29643,2964.3,2.9643,-3.64433558211961,2.81081288257989,6.4551484646995,-10.4010567305753,7.4515608283911,17.8526175589664,5652,2826,2960,2.96,15.9565217391304,16.5909090909091,16.5909090909091,384,380,23,22,22,5455,526,526,8220,8.22,5282.3,5.2823,0.97107665524406,0.815031852385751,0.901660831977215,0.454752107607742,460,462.222188457135,30.6666666666667,69,20190605_slice3_trace5,20190605\_slice3\_trace5
1,baseline,100,1000,2.05230041256278,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.09651216580286,2.25037237025732,29627,2962.7,2.9627,397,29630,2963,2.963,-3.49894886178741,3.75370259232895,7.25265145411635,-12.9728926648473,8.90053078499172,21.873423449839,5551,2775,2960,2.96,18.9444444444444,18.9444444444444,18.9444444444444,365,361,18,18,18,477,477,477,7730,7.73,4792.3,4.7923,0.974109447549086,0.917675307518996,0.932427566098626,0.482352996439156,450,455.714355338624,30,67.5,20190605_slice3_trace6,20190605\_slice3\_trace6
1,baseline,100,1000,2.05230041256278,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.10307039600681,2.26383182881057,29627,2962.7,2.9627,488,29632,2963.2,2.9632,-3.65923049845006,3.8311053047849,7.49033580323496,-14.2280897627847,9.84187230516097,24.0699620679456,5667,2833,2960,2.96,15,17.25,17.25,436,430,29,24,24,5667,536,536,8320,8.32,5382.3,5.3823,0.975822523600058,0.837262055623272,0.886302284532589,0.477718688781485,460,463.74962338083,30.6666666666667,69,20190605_slice3_trace7,20190605\_slice3\_trace7
1,baseline,100,1000,2.05230041256278,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.50889807560875,3.09671214308702,29627,2962.7,2.9627,50,29650,2965,2.965,-4.16642328985862,3.23821480590054,7.40463809575916,-9.39252676718596,7.47024631949246,16.8627730866784,5096,2548,2960,2.96,5.11111111111111,5.5,5.5,47,44,9,8,8,1591,99,99,3950,3.95,1012.3,1.0123,1,0.767754560707844,0.739129986203904,0.177229659969012,380,460.000192403974,25.3333333333333,57,20190605_slice3_trace8,20190605\_slice3\_trace8
1,baseline,100,1000,2.05230041256278,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.09889011061863,2.25525262738377,29627,2962.7,2.9627,596,29629,2962.9,2.9629,-4.30122508345723,3.75809752599734,8.05932260945457,-14.3984701843102,10.2296078526231,24.6280780369333,5322,2661,2960,2.96,21.64,21.64,21.64,564,559,25,25,25,700,700,700,9960,9.96,7022.3,7.0223,0.979874198548749,0.769266969626557,0.828798065572852,0.561194589506984,480,475.45448257905,32,72,20190605_slice3_trace9,20190605\_slice3\_trace9
1,baseline,100,1000,2.05230041256278,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.10032784645728,2.2582032932386,29627,2962.7,2.9627,534,29646,2964.6,2.9646,-3.81684271777401,3.94557568473127,7.76241840250528,-14.3072187669071,9.1044111030546,23.4116298699618,5637,2818,2960,2.96,25.1578947368421,25.1578947368421,25.1578947368421,501,497,19,19,19,550,550,550,8460,8.46,5522.3,5.5223,0.977090046747123,0.683568264254688,0.81724093256799,0.57047229269114,480,483.33359754608,32,72,20190605_slice3_trace10,20190605\_slice3\_trace10
