phaseNumber,nSpikesPerBurstInOsc_20190603_slice2,nSpikesPerBurstInOsc_20190603_slice3,nSpikesPerBurstInOsc_20190603_slice6,nSpikesPerBurstInOsc_20190605_slice3,nSpikesPerBurstInOsc_20190605_slice4,nSpikesPerBurstInOsc_20190606_slice5,nSpikesPerBurstInOsc_20190606_slice7
1,15.4316558441559,13.4778528317228,11.9859090909091,20.8503663003663,30.1421534391534,17.6330323357413,10.4291259968102
2,27.3003174603175,11.3590036965323,10.8305050505051,16.996097826087,37.849703804967,19.1613666519239,10.5398083398084
3,30.055772005772,9.00541347631478,11.2412787212787,24.7300220247589,26.4028571428571,19.8487212276215,10.8664319923372
