Time,oscIndex1_20190603_slice2,phaseNumber_20190603_slice2,oscIndex1_20190603_slice3,phaseNumber_20190603_slice3,oscIndex1_20190603_slice6,phaseNumber_20190603_slice6,oscIndex1_20190605_slice3,phaseNumber_20190605_slice3,oscIndex1_20190605_slice4,phaseNumber_20190605_slice4,oscIndex1_20190606_slice5,phaseNumber_20190606_slice5,oscIndex1_20190606_slice7,phaseNumber_20190606_slice7
-20 min,0.957369085757914,1,0.999782462308261,1,0.945582905416595,1,0.978512407682656,1,0.978784879617363,1,0.984521246616681,1,0.971174805983622,1
-19 min,0.883827991132556,1,0.993416687898535,1,0.929136247969008,1,0.937746776080205,1,0.989292519659381,1,0.996907910423819,1,1,1
-18 min,0.729010477206352,1,0.996643848814161,1,0.848081210731908,1,0.965300010384808,1,0.989297785870744,1,0.997588402849204,1,0.989602433562305,1
-17 min,0.783610230869978,1,0.991741263645542,1,0.833788836942537,1,0.940216981849533,1,0.960245656965966,1,0.982498600864615,1,0.9924629805708,1
-16 min,0.754543496253009,1,0.986662923158893,1,0.884181477456134,1,0.97107665524406,1,0.98821803104081,1,0.984765979720472,1,1,1
-15 min,0.768443398388803,1,0.984428410914631,1,0.957184772301986,1,0.974109447549086,1,0.979701124816672,1,0.99771080149085,1,0.99205684630167,1
-14 min,0.828271411076996,1,0.966230363524573,1,0.912913370592877,1,0.975822523600058,1,0.985256701958395,1,0.993054901521112,1,0.967253181662981,1
-13 min,0.777909315464506,1,0.986451326699884,1,0.861277348244144,1,1,1,0.962796707914689,1,0.995450234171536,1,0.991227432931032,1
-12 min,0.690859624784373,1,0.992328336956196,1,0.885438291171923,1,0.979874198548749,1,0.957331522037363,1,0.999251943972272,1,0.995698439739734,1
-11 min,0.739770139739443,1,0.990128544892622,1,0.878569273268866,1,0.977090046747123,1,0.979482443590943,1,0.999224961741807,1,0.994489756838337,1
-10 min,0.761749081653089,1,0.986419469258581,1,0.959598075467778,1,0.974549212191195,1,0.973791005857025,1,0.999351299906384,1,1,1
-9 min,0.727976091820226,1,0.988710916571117,1,0.936536668401742,1,0.976320433342952,1,0.96601064833172,1,0.997751015530041,1,0.99502178370467,1
-8 min,0.752128470920217,1,0.989089944603643,1,0.908896262882996,1,0.97000895720789,1,0.968136423346406,1,0.992249814799335,1,0.995489279939674,1
-7 min,0.661804775315541,1,0.976767885642787,1,0.875112442897039,1,0.967663204024261,1,0.974640445369614,1,0.999527388843738,1,0.99366033501879,1
-6 min,0.553227906706059,1,0.991830709388091,1,0.884763805747492,1,0.972805137729807,1,0.881063270358015,1,0.999217058998339,1,0.996531981849528,1
-5 min,0.672457042328327,1,0.968800128727601,1,0.88753607466983,1,0.944933991885839,1,0.958723387799557,1,0.998861406692052,1,0.9947106398495,1
-4 min,0.726920095947183,1,0.99554264925194,1,0.942172593612008,1,0.967101362838811,1,0.963489810284653,1,0.995854922581884,1,0.99576305301152,1
-3 min,0.692963630103988,1,0.970230233034497,1,0.897553442907639,1,0.970131185503949,1,0.965292353238988,1,0.998214334040915,1,0.990362080690301,1
-2 min,0.679710358766477,1,0.97662289736368,1,0.870342767161815,1,0.969071797036557,1,0.967275426551839,1,0.997137656677217,1,0.985832747507162,1
-1 min,0.722640134907701,1,0.960113625549978,1,0.903957547263235,1,0.944063522582355,1,0.96830897083775,1,0.998175505103463,1,0.982330927246062,1
0 min,0.739185342793467,2,0.959749929304549,2,0.885676039240339,2,0.957418741508993,2,0.947497411114528,2,0.997993067377755,2,0.981915629925401,2
1 min,0.708235434539779,2,0.990437546364556,2,0.814671433348287,2,0.977684718892525,2,0.961485409359928,2,0.999090466297946,2,0.996146918943733,2
2 min,0.787461964523017,2,0.974305942872847,2,0.927194400834682,2,0.972996946950186,2,0.96773616767622,2,0.995494639725324,2,0.99127625179675,2
3 min,0.748338022169958,2,0.976859287312314,2,0.901099650355018,2,0.959419541717145,2,0.938625125264719,2,0.99748658040307,2,0.986308657188705,2
4 min,0.677179468034813,2,0.990205660644082,2,0.843095861077875,2,0.957218989598014,2,0.963791786745762,2,0.99926234343586,2,0.995125490298916,2
5 min,0.638316749845648,2,0.965159495100232,2,0.921059183094835,2,0.9576104023161,2,0.892237921880984,2,0.990792167352034,2,0.994953250722448,2
6 min,0.618129537468413,2,0.975439030497878,2,0.90601627928541,2,0.968106609166191,2,0.937832359869085,2,0.99342456591849,2,0.990551137574446,2
7 min,0.872465681815867,2,0.97627983497812,2,0.900754680268882,2,0.929419787992093,2,0.953494441181669,2,0.996221076735174,2,0.99542463354674,2
8 min,0.679312789272069,2,0.987638421165794,2,0.886409056079644,2,0.950019469394145,2,0.975084281993193,2,0.988408506282713,2,0.995663281540028,2
9 min,0.639231667151419,2,0.974747119174671,2,0.85902438362917,2,0.965149900686187,2,0.889493688617621,2,0.994242405441194,2,0.990936374726378,2
10 min,0.643104768593575,2,0.972945159945261,2,0.901885221272809,2,0.957093663260066,2,0.915844236291824,2,0.990209668312473,2,0.997749005418026,2
11 min,0.605401048209699,2,0.9828777846983,2,0.870710604462544,2,0.963357957735696,2,0.977936031924835,2,0.997024464522143,2,0.994315197283143,2
12 min,0.615671280845871,2,0.986235116291418,2,0.520398934729491,2,0.949465756376216,2,0.959823021594371,2,0.999351403977176,2,0.989766583152085,2
13 min,0.766990244746195,2,0.977309335399553,2,0.905690960672753,2,0.935360394039236,2,0.93780834680147,2,0.997580556064437,2,0.992574419521217,2
14 min,0.677560083056408,2,0.972026677368674,2,0.901315051338492,2,0.947929531224418,2,0.92165400734684,2,0.98574116668807,2,0.977379022305724,2
15 min,0.646183354781302,2,0.966176782360403,2,0.854422474487556,2,0.958000403903136,2,0.959598876472234,2,0.9970531873637,2,0.986420379900102,2
16 min,0,2,0.954399978969594,2,0.853949520684771,2,0.941692088477423,2,0.951960151249609,2,0.988263511950796,2,0.97393130915082,2
17 min,0,2,0.953737295016483,2,0.890716309170961,2,0.92652730335719,2,0.857177363424163,2,0.995311440685832,2,0.989158958326959,2
18 min,0.599837507755783,2,0.984882153409171,2,0.899490210046932,2,0.951357928622898,2,0.956110267135139,2,0.99537996022756,2,0.982566485640563,2
19 min,0.552531904837377,2,0.966617111465277,2,0.850013876561493,2,0.903853974415392,2,0.924798461739365,2,0.994979077500613,2,0.973343627291934,2
20 min,0.563955923981227,2,0.980345347541934,2,0.879443828500519,2,0.95356027792244,2,0.941851329081221,2,0.994303078224656,2,0.968618359117092,2
