Time,oscPeriod2Ms_20190603_slice7,phaseNumber_20190603_slice7,oscPeriod2Ms_20190603_slice9,phaseNumber_20190603_slice9,oscPeriod2Ms_20190604_slice2,phaseNumber_20190604_slice2,oscPeriod2Ms_20190604_slice3,phaseNumber_20190604_slice3,oscPeriod2Ms_20190604_slice4,phaseNumber_20190604_slice4,oscPeriod2Ms_20190604_slice7,phaseNumber_20190604_slice7,oscPeriod2Ms_20190606_slice1,phaseNumber_20190606_slice1,oscPeriod2Ms_20190606_slice2,phaseNumber_20190606_slice2,oscPeriod2Ms_20190606_slice3,phaseNumber_20190606_slice3,oscPeriod2Ms_20190607_slice4,phaseNumber_20190607_slice4
-20 min,509.285536247535,1,453.333097624082,1,540.00000544522,1,523.33335527305,1,484.000109538083,1,448.749801061572,1,434.999845650356,1,403.124728002348,1,399.999701463371,1,420.000045485288,1
-19 min,502.500042919806,1,459.999809712544,1,531.66668472265,1,522.000090228551,1,483.333638757722,1,459.999884567355,1,436.666606614601,1,405.384759231592,1,498.571341188422,1,433.333192358471,1
-18 min,506.923203203473,1,450.000298140649,1,547.499793717232,1,529.999635102591,1,547.142986328793,1,461.000098712226,1,437.142544846529,1,474.166871316025,1,406.24990694244,1,431.818310840909,1
-17 min,424.615296952431,1,459.999904018886,1,553.33306144858,1,524.999976950233,1,543.999884717221,1,544.2856125826,1,492.499745557672,1,404.444234146916,1,386.666755563455,1,426.249576259986,1
-16 min,512.857349196078,1,443.333076943834,1,551.538411690858,1,527.499977903394,1,507.499586268055,1,472.000067383391,1,337.89480840121,1,401.111005339019,1,503.845977683383,1,489.9999372301,1
-15 min,519.999938639579,1,490.000094936918,1,557.499662046542,1,549.999945430609,1,509.090935534592,1,471.428609240367,1,431.999744835217,1,403.077116944765,1,467.142861597067,1,454.444629647211,1
-14 min,509.999988236062,1,475.000000487146,1,543.749661155935,1,769.034556082437,1,484.444523174422,1,471.999899976577,1,393.63675869864,1,452.727101873113,1,408.888846993156,1,451.249965809436,1
-13 min,496.0003252827,1,383.999893946809,1,798.571608663602,1,529.9998533695,1,514.999836075347,1,468.999773459182,1,426.250211912272,1,408.333149107954,1,408.000230557328,1,451.999805436876,1
-12 min,510.000053110513,1,450.000059664522,1,496.922884363637,1,523.749823421558,1,486.000067341273,1,556.249930525149,1,367.692419323635,1,410.000002060899,1,410.000123366032,1,471.428501433244,1
-11 min,499.999970418839,1,476.666783255551,1,539.999894587356,1,945.00006774984,1,540.999927237718,1,481.666807213514,1,427.999815161811,1,408.000113416332,1,402.222202553142,1,411.250103283773,1
-10 min,506.666654671604,1,345.000137883803,1,587.142664505808,1,589.99993854103,1,532.000336381665,1,482.500078441054,1,424.999931847612,1,410.000320560735,1,430.714203375189,1,467.333505777258,1
-9 min,491.250143975656,1,467.500028863157,1,493.88872675174,1,532.500349394829,1,626.666998863688,1,477.777792229714,1,420.000318303386,1,322.222522569745,1,405.454784592833,1,681.818077928863,1
-8 min,500.999904522497,1,429.999914680334,1,576.363632714165,1,532.000010394543,1,507.777789991916,1,464.000045210136,1,379.000219948981,1,415.00013212559,1,418.333299866349,1,487.49986632198,1
-7 min,501.000129004718,1,440.000303616455,1,598.571245241698,1,522.857001716971,1,505.999967097853,1,470.000439945253,1,411.666504221981,1,316.923001442203,1,471.250171726028,1,474.666994199313,1
-6 min,503.333331125536,1,397.500121196011,1,528.888896456105,1,518.750046496502,1,514.000039327418,1,483.33327261375,1,417.500143259518,1,349.230444785523,1,424.444458190709,1,480.000028261974,1
-5 min,508.124977098413,1,739.999989560215,1,572.307699128584,1,578.333148545286,1,537.499837769026,1,475.000322913624,1,427.50019331072,1,413.333353570577,1,419.999925971589,1,461.111137645305,1
-4 min,499.999955549014,1,339.999922899649,1,578.181657574403,1,488.000034804187,1,512.857269178093,1,470.000161837244,1,416.66666500196,1,415.384689127851,1,583.749877785071,1,403.750028063496,1
-3 min,486.363715334202,1,460.000270861188,1,582.221934210992,1,789.999736881112,1,499.99998609699,1,474.999939651266,1,415.714152181471,1,416.666996426226,1,413.999839483848,1,460.000140151345,1
-2 min,494.000526313316,1,396.666457567202,1,582.222127795426,1,590.00017145764,1,507.999955466641,1,481.666692091316,1,410.000036693208,1,415.55546926503,1,411.999966370819,1,528.571752763021,1
-1 min,510.714047345349,1,440.000088922687,1,569.999956403637,1,519.999907458737,1,501.249968579267,1,561.428858299116,1,414.999974041582,1,408.999856525448,1,419.99996855089,1,461.000218280051,1
0 min,497.142711600897,2,453.333436155697,2,579.999926303647,2,516.250132128798,2,494.285956237407,2,485.000346523758,2,412.499896857566,2,406.250188757433,2,439.99995911638,2,538.571409766036,2
1 min,505.000036719405,2,427.499676191171,2,571.249937236099,2,524.545497864378,2,518.999900332338,2,491.250284533218,2,512.22221463841,2,415.000176104208,2,422.856882049676,2,461.111183821042,2
2 min,503.636113519585,2,446.666838399457,2,565.714266108572,2,524.999835879312,2,507.499933271598,2,558.571786998199,2,416.666501098225,2,463.636535037993,2,532.499976078547,2,467.999657252951,2
3 min,497.777576782064,2,709.999978177242,2,518.461257206531,2,523.33321349816,2,510.000181927601,2,482.000423445596,2,405.000167412679,2,423.750050777535,2,404.285331525075,2,483.333197240309,2
4 min,482.499914094085,2,480.00005753607,2,585.000029726961,2,517.14294507269,2,504.44424102764,2,483.333059326034,2,426.249897731229,2,420.909061916165,2,434.000009025303,2,467.143006936738,2
5 min,493.635975822183,2,459.999975517164,2,0,2,594.999986934171,2,501.110579076561,2,480.000033215656,2,417.142805190149,2,426.363616559639,2,431.111403979829,2,482.499830228032,2
6 min,489.999917100487,2,465.000058704503,2,562.499892532266,2,497.499910527507,2,497.500272446545,2,483.749895110524,2,402.85744298753,2,346.999969268608,2,437.777830902197,2,464.286198556202,2
7 min,494.999612554353,2,472.499875858934,2,559.166742617643,2,516.666451085994,2,488.333035109748,2,561.428971581059,2,409.999920992574,2,423.333647572534,2,430.000072209126,2,469.999941417125,2
8 min,493.333298658583,2,465.000151065498,2,599.090875734738,2,504.999901797277,2,478.333593818125,2,499.999763616532,2,410.000192626026,2,430.000362664495,2,422.499643702588,2,464.999984314285,2
9 min,502.000142190585,2,445.000358774467,2,560.833397028967,2,481.666744776659,2,506.666586817324,2,415.71456080218,2,414.285482797245,2,424.999981013952,2,432.999995818733,2,459.230858733337,2
10 min,484.99995327899,2,487.499965843949,2,566.666821877874,2,512.000093553695,2,498.571567494634,2,486.000183014259,2,840.000302287425,2,443.750062965973,2,444.999874647119,2,440.000107797487,2
11 min,493.749952711499,2,470.000103410825,2,571.666622657036,2,511.428691872047,2,495.000008042693,2,477.999932342201,2,415.000129321135,2,427.142797591214,2,442.499971621722,2,466.922747250326,2
12 min,487.142647867892,2,466.666451578017,2,567.142260882367,2,535.000003405549,2,497.777514641065,2,479.999907430699,2,404.285871070021,2,431.666253860124,2,405.555829828167,2,474.000121853117,2
13 min,486.666879492258,2,469.999608403579,2,507.273192133468,2,649.999874142055,2,558.571471106912,2,567.143018450115,2,405.714370578398,2,424.000013517409,2,419.999874649143,2,458.00014053076,2
14 min,493.749688015255,2,469.999841810556,2,562.85698273364,2,529.999703258122,2,501.250296765631,2,491.999759039959,2,411.250007959012,2,419.999650536197,2,427.000174111536,2,462.499695275184,2
15 min,508.333077522256,2,473.332745480294,2,696.666681675625,2,515.000104781234,2,492.500067090261,2,490.000003102338,2,412.499580160126,2,426.249951444164,2,428.000083846266,2,467.777545561858,2
16 min,490.000146904324,2,489.999924763227,2,566.000202833623,2,620.000109625262,2,490.000241272435,2,370.000093894893,2,411.666377541242,2,434.999711382907,2,453.636532923562,2,441.666551464207,2
17 min,497.777657698455,2,477.499775172997,2,717.500033296021,2,546.000001846724,2,497.777775027563,2,504.285772493365,2,302.857031181148,2,435.454347139129,2,430.000081473484,2,467.999811411659,2
18 min,503.999963518927,2,460.000092974697,2,553.333256369678,2,520.00005715127,2,495.000024153162,2,482.500286563793,2,491.999745144298,2,438.333081348382,2,411.818268900904,2,455.384820401665,2
19 min,503.333518235769,2,476.666682951887,2,553.333299226612,2,423.636523294793,2,478.000296206229,2,479.999791675154,2,410.000004959041,2,441.999735998404,2,439.999692826279,2,445.714140549659,2
20 min,487.142963060008,2,500.000110659697,2,620,2,519.999829908838,2,508.571620130207,2,498.333056370263,2,384.166532174167,2,427.499929376863,2,415.714241600656,2,444.615460411452,2
21 min,489.999920180236,2,480.000075014811,2,551.249902384707,2,358.000177850678,2,523.33334146023,2,366.25020753575,2,817.324521061734,2,424.999743863708,2,415.000028188991,2,453.33332347641,2
22 min,483.750360566302,2,490.000085796257,2,0,2,530.000156593801,2,501.111227271383,2,495.000163655752,2,832.499963252599,2,427.99951187996,2,456.000224688293,2,447.50021888286,2
23 min,491.250135073312,2,485.000354287041,2,584.999840764724,2,590.000041198671,2,569.999675820402,2,496.666482323002,2,834.999941543272,2,431.66664290056,2,361.666596956794,2,444.99987797648,2
24 min,481.428570962477,2,494.99945574897,2,688.000099705814,2,512.857278090491,2,427.500293112322,2,494.285469026697,2,844.000118178596,2,354.54571767336,2,413.333435423988,2,446.363616976407,2
