Time,oscPeriod2Ms_20190603_slice7,phaseNumber_20190603_slice7,oscPeriod2Ms_20190603_slice9,phaseNumber_20190603_slice9,oscPeriod2Ms_20190604_slice2,phaseNumber_20190604_slice2,oscPeriod2Ms_20190604_slice3,phaseNumber_20190604_slice3,oscPeriod2Ms_20190604_slice4,phaseNumber_20190604_slice4,oscPeriod2Ms_20190604_slice7,phaseNumber_20190604_slice7,oscPeriod2Ms_20190606_slice1,phaseNumber_20190606_slice1,oscPeriod2Ms_20190606_slice2,phaseNumber_20190606_slice2,oscPeriod2Ms_20190606_slice3,phaseNumber_20190606_slice3,oscPeriod2Ms_20190607_slice4,phaseNumber_20190607_slice4
25 min,493.333505209881,2,476.666541218843,2,557.272512418716,2,507.5000298149,2,503.749783659792,2,567.143068502077,2,680.000129477538,2,484.444213606955,2,520.833361650939,2,438.181824152895,2
26 min,503.636183029655,2,486.666931317801,2,750.000308177694,2,401.249881087625,2,481.999965617015,2,387.77758212648,2,819.999979180935,2,434.444228012036,2,431.249977443212,2,444.285700041184,2
27 min,488.571147264933,2,499.999805617227,2,672.499915329914,2,529.999761099202,2,471.249907347623,2,481.666678944656,2,1024.99966388093,2,433.750266925615,2,422.856928829131,2,432.49977248088,2
28 min,485.000200089645,2,483.333551877649,2,557.999929120772,2,526.666602035041,2,509.999733726613,2,498.571329698913,2,1229.99996984764,2,437.777388875312,2,464.285412672337,2,442.307442802559,2
29 min,494.444278513484,2,495.000112162991,2,728.889232210783,2,518.000118575432,2,627.499688263452,2,502.500034506105,2,405.000071180999,2,498.571306733613,2,409.999710392973,2,441.999940541841,2
30 min,489.999923989925,3,440.000021624172,3,549.999810828004,3,517.143017943918,3,527.500240497663,3,496.000059184181,3,1190.00017218561,3,435.714130001682,3,413.333398116059,3,423.333268813063,3
31 min,488.750143752229,3,305.99993954073,3,557.999896050073,3,522.499816279119,3,503.332804844312,3,341.999618266737,3,1259.9998140228,3,427.500125885951,3,395.454656372395,3,428.333145516668,3
32 min,500.000221295474,3,323.333340959381,3,824.999946537128,3,627.499979272616,3,482.500121320925,3,480.000085519833,3,1045.00010428624,3,443.999898365781,3,434.615281263614,3,437.999842786831,3
33 min,492.500102970653,3,453.333518864842,3,606.249957683291,3,527.999807576377,3,484.999823858894,3,408.333182688231,3,1270.00011639888,3,447.500019697339,3,478.750126212366,3,446.666728072161,3
34 min,467.500181839952,3,754.999858002442,3,552.00020500573,3,624.999958969634,3,489.999948745423,3,501.999899408501,3,1259.99965537203,3,440.000077933708,3,417.500053892659,3,432.999913585854,3
35 min,565.71437504884,3,482.500038866175,3,554.999619926364,3,521.999849293039,3,513.999762021922,3,508.571385536993,3,0,3,435.000507673692,3,422.500102951041,3,450.000022461266,3
36 min,491.428676019019,3,476.666909173488,3,546.666372415752,3,639.999869243759,3,464.00015292485,3,496.000106727431,3,1659.99963208838,3,445.000170399058,3,497.500599314803,3,438.000080055105,3
37 min,516.666513966396,3,476.666853527503,3,707.50019698806,3,514.999603418992,3,516.000001431253,3,506.666541731135,3,0,3,445.000122242244,3,410.00020993238,3,432.000198895572,3
38 min,580.000115770211,3,466.666665396326,3,822.499763999612,3,498.333410103002,3,374.999829061229,3,418.57164916413,3,2810,3,440.000408290477,3,427.499987168441,3,429.09106147122,3
39 min,486.666854378047,3,510.000118952362,3,591.249703096267,3,524.285807551395,3,519.000156845122,3,403.333485272866,3,1704.99976927509,3,430.000367909691,3,427.777818655935,3,438.333193452982,3
40 min,491.666804600313,3,487.499800619723,3,552.222395169082,3,680.000166232854,3,486.250061818023,3,480.000223547,3,0,3,0,3,438.000205228727,3,446.666581605706,3
41 min,490.000032493691,3,490.000116183724,3,598.333247501347,3,494.99999936529,3,703.333456286982,3,499.999945406527,3,2050,3,0,3,422.500182028653,3,434.545746744258,3
42 min,501.249675768914,3,476.666555871787,3,631.24978883838,3,524.000040928582,3,519.999771482461,3,428.333631638298,3,0,3,289.999918607869,3,412.500162004527,3,439.999886236257,3
43 min,496.666861017706,3,486.666682164485,3,536.666674235224,3,619.999856942417,3,615.000146039688,3,504.285535450133,3,0,3,496.250071630551,3,425.000042803148,3,435.000140121206,3
44 min,498.333145269878,3,500.000025552165,3,547.272533075453,3,684.999903132106,3,513.000308464827,3,511.999748863093,3,0,3,453.333400969381,3,430.000397018219,3,435.833268802262,3
45 min,495.000169262349,3,460.000301112389,3,540.000469103987,3,506.000038479894,3,507.999981645966,3,408.571211709289,3,0,3,397.368575938485,3,449.999802930355,3,422.499937718587,3
46 min,493.333527064364,3,515.000152790154,3,723.333282592812,3,486.666611932693,3,724.000036063206,3,502.500049076945,3,1700,3,448.999886743009,3,431.818292372966,3,475.555366861985,3
47 min,506.249935554072,3,476.666933100374,3,563.999938967478,3,630,3,505.714270164098,3,512.500191670104,3,0,3,449.99999085663,3,430.000329129561,3,441.666634936635,3
48 min,491.666591904718,3,490.00005299001,3,544.999828922951,3,0,3,512.000366123293,3,583.33307926242,3,0,3,457.499928737455,3,443.333183962959,3,429.999842421468,3
49 min,495.714277123096,3,480.000010859671,3,545.454359308294,3,0,3,628.888691594794,3,495.999954253484,3,0,3,450.000351405128,3,354.999808304216,3,438.333599028752,3
