phaseNumber,phaseName,filtFreq_1,filtFreq_2,signal2Noise,minDelayMs,binWidthMs,binWidthSec,filterWidthMs,minRelProm,minSpikeRateInBurstHz,minBurstLengthMs,maxInterBurstIntervalMs,maxInterBurstIntervalSec,resolutionMs,siMs,minTimeMs,maxTimeMs,siSeconds,minTimeSec,maxTimeSec,idxStimStart,stimStartMs,stimStartSec,baseWindow_1,baseWindow_2,baseSlopeNoise,slopeThreshold,idxDetectStart,detectStartMs,detectStartSec,nSpikesTotal,idxFirstSpike,firstSpikeMs,firstSpikeSec,vMin,vMax,vRange,slopeMin,slopeMax,slopeRange,nBins,halfNBins,histLeftMs,histLeftSec,nSpikesPerBurst,nSpikesPerBurstIn10s,nSpikesPerBurstInOsc,nSpikesIn10s,nSpikesInOsc,nBurstsTotal,nBurstsIn10s,nBurstsInOsc,iBinLastOfLastBurst,iBinLastOfLastBurstIn10s,iBinLastOfLastBurstInOsc,timeOscEndMs,timeOscEndSec,oscDurationMs,oscDurationSec,oscIndex1,oscIndex2,oscIndex3,oscIndex4,oscPeriod1Ms,oscPeriod2Ms,minOscPeriod2Bins,maxOscPeriod2Bins,figPathBase,figTitleBase
1,baseline,100,1000,2.34449756812272,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.37148959901528,3.21545402959692,29627,2962.7,2.9627,284,29635,2963.5,2.9635,-5.42455736355995,4.04958555795994,9.47414292151989,-13.9009886353946,14.2749205064804,28.175909141875,3723,1861,2960,2.96,12.2727272727273,12.7619047619048,13.7894736842105,281,274,22,21,19,1402,842,491,7870,7.87,4932.3,4.9323,0.953394334661043,0.964974032291715,0.9616851005061,0.432368292341598,440,434.999845650356,29.3333333333333,66,20190606_slice1_trace1,20190606\_slice1\_trace1
1,baseline,100,1000,2.34449756812272,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.37541735433838,3.22466264240011,29627,2962.7,2.9627,287,29634,2963.4,2.9634,-3.81368094137526,3.6606832501509,7.47436419152616,-11.7548236027861,10.2223926788151,21.9772162816012,5633,2816,2960,2.96,12.8571428571429,13.4,13.4,282,274,21,20,20,5633,351,351,6470,6.47,3532.3,3.5323,0.822978008041025,0.856114283994061,0.973827459664082,0.357463390675358,430,436.666606614601,28.6666666666667,64.5,20190606_slice1_trace2,20190606\_slice1\_trace2
1,baseline,100,1000,2.34449756812272,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38976143977911,3.25829231583284,29627,2962.7,2.9627,307,29671,2967.1,2.9671,-5.58557583149978,4.05386519515494,9.63944102665473,-13.401506279155,14.7787317930208,28.1802380721758,4960,2480,2960,2.96,14.0952380952381,14.0952380952381,14.0952380952381,306,306,21,21,21,542,542,542,8380,8.38,5442.3,5.4423,0.958762370617231,0.927777497634597,0.9483658333036,0.4255713647959,430,437.142544846529,28.6666666666667,64.5,20190606_slice1_trace3,20190606\_slice1\_trace3
1,baseline,100,1000,2.34449756812272,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.37376732770585,3.22079415897282,29627,2962.7,2.9627,422,29635,2963.5,2.9635,-5.15141047333324,6.17891319153738,11.3303236648706,-12.7472551955871,15.9123945934394,28.6596497890265,5652,2826,2960,2.96,11.0555555555556,13.4347826086957,13.4347826086957,325,324,36,23,23,5652,871,871,11670,11.67,8732.3,8.7323,0.869396001423353,0.874001799728648,0.520996428324637,0.379503482450093,420,492.499745557672,28,63,20190606_slice1_trace4,20190606\_slice1\_trace4
1,baseline,100,1000,2.34449756812272,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.44744672867516,3.39353533536609,29627,2962.7,2.9627,689,29628,2962.8,2.9628,-4.69556379455396,4.22961583378613,8.92517962834008,-13.2612525605126,14.2076666103443,27.4689191708569,3236,1618,2960,2.96,11.3620689655172,11.8,11.8,555,555,58,45,45,3234,749,749,10450,10.45,7512.3,7.5123,0.522945334718334,0.487505302211696,0.583332998016211,0.0731308604221627,400,337.89480840121,26.6666666666667,60,20190606_slice1_trace5,20190606\_slice1\_trace5
1,baseline,100,1000,2.34449756812272,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38088432324939,3.23747993771699,29627,2962.7,2.9627,329,29631,2963.1,2.9631,-5.95650233462791,6.05815616002738,12.0146584946553,-17.6073510522243,15.7588611932024,33.3662122454268,3850,1925,2960,2.96,14.4090909090909,14.4090909090909,14.4090909090909,325,325,22,22,22,482,482,482,7780,7.78,4842.3,4.8423,0.750613504063355,0.816419810961389,0.942592204288617,0.33696641919103,420,431.999744835217,28,63,20190606_slice1_trace6,20190606\_slice1\_trace6
1,baseline,100,1000,2.34449756812272,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.3935439697836,3.26716044822972,29627,2962.7,2.9627,317,29636,2963.6,2.9636,-3.70168310397619,5.14853085360354,8.85021395757973,-13.2446499238647,14.7920569684476,28.0367068923124,2784,1392,2960,2.96,17,17,17,316,316,18,18,18,577,577,577,8730,8.73,5792.3,5.7923,0.879119487638054,0.863547692217452,0.526558530259426,0.410858734016584,420,393.63675869864,28,63,20190606_slice1_trace7,20190606\_slice1\_trace7
1,baseline,100,1000,2.34449756812272,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.4086248235061,3.30251747310734,29627,2962.7,2.9627,264,29635,2963.5,2.9635,-4.49690077293767,4.46861807944645,8.96551885238412,-14.0177871379233,12.090361382606,26.1081485205293,5375,2687,2960,2.96,11.8095238095238,12.3,12.3,259,259,21,20,20,2947,391,391,6870,6.87,3932.3,3.9323,0.914786169785825,0.919027105894685,0.928152279810622,0.338936098789371,430,426.250211912272,28.6666666666667,64.5,20190606_slice1_trace8,20190606\_slice1\_trace8
1,baseline,100,1000,2.34449756812272,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38774042668137,3.25355405554006,29627,2962.7,2.9627,283,29631,2963.1,2.9631,-3.87669145865378,4.71129679775779,8.58798825641157,-14.7659684166207,16.1484568578934,30.914425274514,1990,995,2960,2.96,9.85185185185185,10.4,10.4,277,277,27,25,25,1990,573,573,8690,8.69,5752.3,5.7523,0.890437111235117,0.909164524775708,0.558926063002665,0.329727671591386,420,367.692419323635,28,63,20190606_slice1_trace9,20190606\_slice1\_trace9
1,baseline,100,1000,2.34449756812272,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38423459906789,3.245334651226,29627,2962.7,2.9627,315,29635,2963.5,2.9635,-3.97959878813275,4.75919172014833,8.73879050828108,-13.5663674229332,12.866991733669,26.4333591566022,4494,2247,2960,2.96,15.5263157894737,15.5263157894737,15.5263157894737,314,311,19,19,19,477,477,477,7730,7.73,4792.3,4.7923,0.817282828651529,0.852606121306091,0.957943475205979,0.32754986910075,420,427.999815161811,28,63,20190606_slice1_trace10,20190606\_slice1\_trace10
