phaseNumber,oscPeriod1Ms_20190603_slice7,oscPeriod1Ms_20190603_slice9,oscPeriod1Ms_20190604_slice2,oscPeriod1Ms_20190604_slice3,oscPeriod1Ms_20190604_slice4,oscPeriod1Ms_20190604_slice7,oscPeriod1Ms_20190606_slice1,oscPeriod1Ms_20190606_slice2,oscPeriod1Ms_20190606_slice3,oscPeriod1Ms_20190607_slice4
1,508,416,576,548,520,468,410,408,412,460
2,496,420,578,524,500,470,814,426,434,438
3,508,416,568,494,538,470,0,446,446,444
