phaseNumber,oscIndex3_20190603_slice7,oscIndex3_20190603_slice9,oscIndex3_20190604_slice2,oscIndex3_20190604_slice3,oscIndex3_20190604_slice4,oscIndex3_20190604_slice7,oscIndex3_20190606_slice1,oscIndex3_20190606_slice2,oscIndex3_20190606_slice3,oscIndex3_20190607_slice4
1,0.796411864934183,0.781270441320007,0.787276796735123,0.726010204658693,0.799098055250093,0.937753228574598,0.931163172240438,0.905855317587167,0.905369026835455,0.79199888274007
2,0.865768375076464,0.769081983387427,0.586956025240271,0.847765505719527,0.776133603278124,0.927315847295508,0.644854055157191,0.849877893356512,0.746202576180155,0.8519829758044
3,0.838737751716205,0.733488528334936,0.907531333138079,0.798489275543991,0.765414822004069,0.741818944365305,NaN,0.833257408418217,0.670367678576845,0.753591553637863
