Time,oscIndex4_20190603_slice7,phaseNumber_20190603_slice7,oscIndex4_20190603_slice9,phaseNumber_20190603_slice9,oscIndex4_20190604_slice2,phaseNumber_20190604_slice2,oscIndex4_20190604_slice3,phaseNumber_20190604_slice3,oscIndex4_20190604_slice4,phaseNumber_20190604_slice4,oscIndex4_20190604_slice7,phaseNumber_20190604_slice7,oscIndex4_20190606_slice1,phaseNumber_20190606_slice1,oscIndex4_20190606_slice2,phaseNumber_20190606_slice2,oscIndex4_20190606_slice3,phaseNumber_20190606_slice3,oscIndex4_20190607_slice4,phaseNumber_20190607_slice4
-20 min,0.333025635945023,1,0.272993020485648,1,0.423061488828401,1,0.397194776070782,1,0.334144523080136,1,0.372504203117872,1,0.432368292341598,1,0.471480554965225,1,0.369428890267272,1,0.248994433597225,1
-19 min,0.434111567639725,1,0.146191250607202,1,0.339802486994748,1,0.431633919432759,1,0.409771843705082,1,0.453099897427508,1,0.357463390675358,1,0.490290685089004,1,0.393273980487519,1,0.297303560291972,1
-18 min,0.373452887300558,1,0.109842919051457,1,0.242872110470045,1,0.372575300287497,1,0.302176849974486,1,0.377225727662142,1,0.4255713647959,1,0.45139910277682,1,0.361863679258353,1,0.221272241963305,1
-17 min,0.28619698978379,1,0.242997442061967,1,0.32368441624572,1,0.345643289934646,1,0.206521191208026,1,0.41052892514127,1,0.379503482450093,1,0.525087800699967,1,0.33725489631984,1,0.205835972267047,1
-16 min,0.381890021217909,1,0.13765149555231,1,0.382746430451336,1,0.448780571802296,1,0.426460751160885,1,0.440958568640044,1,0.0731308604221627,1,0.470355934472535,1,0.390419748740068,1,0.264768269842618,1
-15 min,0.307626647211687,1,0.215904456865922,1,0.363602088934154,1,0.147896782669102,1,0.411003885833804,1,0.429835132432684,1,0.33696641919103,1,0.473024452291873,1,0.41715852498702,1,0.21698092534919,1
-14 min,0.390496448228321,1,0.135942751208575,1,0.271298410986308,1,0.208313893337372,1,0.396411126621452,1,0.514609609158843,1,0.410858734016584,1,0.450161337143459,1,0.330878848702006,1,0.315660928395919,1
-13 min,0.41724674211216,1,0.170882832778403,1,0.263506714152559,1,0.471418450843913,1,0.380039029937559,1,0.480454538646716,1,0.338936098789371,1,0.5021947449748,1,0.346204128755937,1,0.261471758494908,1
-12 min,0.343740803606916,1,0.119716646491215,1,0.245359307169276,1,0.321083321423846,1,0.272800210687337,1,0.410141354490007,1,0.329727671591386,1,0.495600785465634,1,0.404625893561149,1,0.206766709722021,1
-11 min,0.345214128745445,1,0.205651556350584,1,0.264432524642042,1,0.138042181014508,1,0.348733678071273,1,0.423434100618192,1,0.32754986910075,1,0.484895574890269,1,0.460223309614711,1,0.213948796640721,1
-10 min,0.389883018581911,1,0.194002845380082,1,0.340884441602509,1,0.230370558006703,1,0.307752089028136,1,0.481179885712089,1,0.376281816348739,1,0.510753495568613,1,0.372654046372629,1,0.244494742077706,1
-9 min,0.343354948147888,1,0.183348146108461,1,0.330233069798318,1,0.259484141911125,1,0.277090067152819,1,0.463029534149778,1,0.396385390708777,1,0.458727681609931,1,0.356310146797407,1,0.203131988473713,1
-8 min,0.296608660470097,1,0.135664962411333,1,0.381570452529934,1,0.177651928932733,1,0.430093725152323,1,0.4712665914356,1,0.361958558684271,1,0.46551923853443,1,0.485012949729271,1,0.307045677948535,1
-7 min,0.368917464909302,1,0.167677315106385,1,0.338202229497407,1,0.317761157310758,1,0.447856429441239,1,0.369519876273353,1,0.0473832129053051,1,0.460242330701242,1,0.467551504652015,1,0.249213043569393,1
-6 min,0.417387380576123,1,0.176158141314448,1,0.297074493230272,1,0.3482134263351,1,0.322341081202349,1,0.381056650312625,1,0.183023977594988,1,0.523308608242206,1,0.476037072387291,1,0.308985244900506,1
-5 min,0.368122798131606,1,0.0762896678648987,1,0.317289726355813,1,0.29534443039089,1,0.316120621357332,1,0.458018200717667,1,0.0566665857131375,1,0.421317540042763,1,0.445386221994632,1,0.237277810427226,1
-4 min,0.426429654517197,1,0.155451577180533,1,0.39647157195176,1,0.178187042013602,1,0.421649800232859,1,0.473916033435255,1,0.126497846996319,1,0.446321197762733,1,0.400778035315288,1,0.336285484101257,1
-3 min,0.298920169425066,1,0.185812317282599,1,0.352613414305164,1,0.219471412308484,1,0.409610074401982,1,0.481190363851,1,0.125680187505248,1,0.437140187204807,1,0.322199236961618,1,0.339181152543672,1
-2 min,0.308241737756295,1,0.101253012802439,1,0.298942141625759,1,0.173055472780781,1,0.497956842718828,1,0.446551704375004,1,0.117886321211329,1,0.483326965241816,1,0.353198743963376,1,0.302647053001225,1
-1 min,0.312143335997295,1,0.151162211316921,1,0.297271708231843,1,0.284355201676234,1,0.389274174826751,1,0.461161997894663,1,0.260656959307102,1,0.484117427833603,1,0.379468525577507,1,0.327081599142999,1
0 min,0.299144177420754,2,0.18515999255909,2,0.346918879742382,2,0.182856014214198,2,0.466313925594849,2,0.566105351920597,2,0.24833942505494,2,0.451550294663594,2,0.410935496874267,2,0.283349684908886,2
1 min,0.309124289910952,2,0.119939879071572,2,0.34385303323037,2,0.309726951210761,2,0.498430815456453,2,0.47340558187271,2,0.24056753061645,2,0.445637825494083,2,0.410898283272736,2,0.321744713077512,2
2 min,0.362235554712757,2,0.140825785975746,2,0.289311436942784,2,0.18502871348897,2,0.488881810019802,2,0.440396786394027,2,0.217266132062718,2,0.350582542109346,2,0.400899223746605,2,0.307668480706186,2
3 min,0.345616882968551,2,0.0977082462861053,2,0.272307719906913,2,0.181029847305686,2,0.470934239401818,2,0.463571873968566,2,0.242203586750979,2,0.44585208616417,2,0.347389785616017,2,0.401257018748472,2
4 min,0.373981827413492,2,0.183183774624843,2,0.288088495665381,2,0.312588555769626,2,0.429638087162536,2,0.394762100111805,2,0.185186153916841,2,0.431772598035807,2,0.342938125325553,2,0.321365270386524,2
5 min,0.410918512859587,2,0.156122741160464,2,0,2,0.108489458874117,2,0.441700891089727,2,0.479207457531933,2,0.193449307407045,2,0.407394741390344,2,0.31785627944656,2,0.429286077786308,2
6 min,0.29338722909365,2,0.172677841863659,2,0.35310674183458,2,0.271239307222604,2,0.382770148076973,2,0.519857343022787,2,0.266984589311668,2,0.455239272242963,2,0.354246974152523,2,0.315676601995557,2
7 min,0.301189143853672,2,0.181997814097624,2,0.329847189921589,2,0.222671012050131,2,0.378309533508927,2,0.395918978995084,2,0.294557241966702,2,0.492846319010617,2,0.300156299731255,2,0.387207578749466,2
8 min,0.338992445556031,2,0.273711203953039,2,0.343954161699135,2,0.229286071682823,2,0.412960112221972,2,0.446174958014536,2,0.16588422177215,2,0.469358965977059,2,0.422678265727911,2,0.476122901426926,2
9 min,0.312236004956844,2,0.267775728425896,2,0.377374750122859,2,0.128098820618847,2,0.437370986260854,2,0.470365707043112,2,0.264422226684804,2,0.407667742761677,2,0.317200089274163,2,0.308037963254363,2
10 min,0.38610506047176,2,0.131890428742566,2,0.354235522377538,2,0.173723141952519,2,0.442601567257598,2,0.461168802669185,2,0.104548126685073,2,0.456340298079458,2,0.173479440021225,2,0.412499553974743,2
11 min,0.267634176842542,2,0.22560947989206,2,0.279585596272188,2,0.253542051578632,2,0.426530556543282,2,0.515806847015077,2,0.155947613092589,2,0.453409601277351,2,0.348495716526351,2,0.366803541846516,2
12 min,0.282744955745335,2,0.161938247658841,2,0.362998397698617,2,0.146109487090217,2,0.428405924067554,2,0.373906911396047,2,0.253817095620071,2,0.439287655843513,2,0.261854041211376,2,0.480350023480126,2
13 min,0.222364503364673,2,0.199541409662755,2,0.327060698956938,2,0.104811766297228,2,0.400361159537339,2,0.427628616284337,2,0.173943038630161,2,0.441452007629034,2,0.35803874775846,2,0.250604470319158,2
14 min,0.379687024861143,2,0.332320248377216,2,0.307441532736053,2,0.211093687268291,2,0.488087154686333,2,0.421134793606895,2,0.20329615026977,2,0.36144944424943,2,0.207813262980016,2,0.428846772893861,2
15 min,0.327723628001216,2,0.193225645491681,2,0.341275348348446,2,0.205962242969055,2,0.491655239728859,2,0.45896014658067,2,0.137161409623349,2,0.417299660568243,2,0.389657407785806,2,0.477800164239166,2
