Time,nSpikesPerBurstIn10s_20190603_slice7,phaseNumber_20190603_slice7,nSpikesPerBurstIn10s_20190603_slice9,phaseNumber_20190603_slice9,nSpikesPerBurstIn10s_20190604_slice2,phaseNumber_20190604_slice2,nSpikesPerBurstIn10s_20190604_slice3,phaseNumber_20190604_slice3,nSpikesPerBurstIn10s_20190604_slice4,phaseNumber_20190604_slice4,nSpikesPerBurstIn10s_20190604_slice7,phaseNumber_20190604_slice7,nSpikesPerBurstIn10s_20190606_slice1,phaseNumber_20190606_slice1,nSpikesPerBurstIn10s_20190606_slice2,phaseNumber_20190606_slice2,nSpikesPerBurstIn10s_20190606_slice3,phaseNumber_20190606_slice3,nSpikesPerBurstIn10s_20190607_slice4,phaseNumber_20190607_slice4
35 min,14.52,3,8.85714285714286,3,7.1,3,13.0625,3,10.59375,3,12.6666666666667,3,36.3846153846154,3,15.1538461538462,3,11,3,15.2692307692308,3
36 min,13.875,3,18,3,7.77272727272727,3,14.1818181818182,3,18.2352941176471,3,14.5,3,27.3157894736842,3,14.08,3,10.4705882352941,3,14.4230769230769,3
37 min,14.45,3,5.8,3,7.71428571428571,3,9.55,3,13.1785714285714,3,12.6923076923077,3,61.875,3,14.96,3,7.95,3,18.2380952380952,3
38 min,12.6190476190476,3,9.88888888888889,3,5.90909090909091,3,11.6923076923077,3,14.25,3,13.4666666666667,3,23.304347826087,3,16.7222222222222,3,11.1818181818182,3,18.9047619047619,3
39 min,11.25,3,13.1666666666667,3,8.11111111111111,3,10.8,3,14.56,3,13.7272727272727,3,31.6111111111111,3,12.3611111111111,3,8.11111111111111,3,21.3684210526316,3
40 min,12,3,7.58333333333333,3,7.94444444444444,3,11,3,16,3,11.4375,3,53.7,3,NaN,3,12.1052631578947,3,13.4583333333333,3
41 min,15.8095238095238,3,13,3,6.73684210526316,3,9.85714285714286,3,13.65,3,11.8,3,44.3846153846154,3,5.33333333333333,3,11.3076923076923,3,15.0434782608696,3
42 min,12.8125,3,9.11111111111111,3,5.14285714285714,3,13,3,15.3333333333333,3,12.1333333333333,3,75.625,3,7,3,7.95238095238095,3,17.4285714285714,3
43 min,16.8636363636364,3,6.81818181818182,3,6.46666666666667,3,10,3,11.6315789473684,3,14.9166666666667,3,44.0714285714286,3,7.92857142857143,3,9.43478260869565,3,13,3
44 min,12.8275862068966,3,11.5714285714286,3,6,3,9.05555555555556,3,13.6666666666667,3,14.2,3,53.0833333333333,3,10.8181818181818,3,8.26666666666667,3,15.3333333333333,3
45 min,12,3,9.5,3,6.77272727272727,3,14.5333333333333,3,18.3571428571429,3,14.6923076923077,3,72,3,11.0333333333333,3,6.76190476190476,3,15.4,3
46 min,11.2962962962963,3,9.875,3,8.58333333333333,3,14.8333333333333,3,12.375,3,18.6666666666667,3,66,3,12.2121212121212,3,6.41666666666667,3,18.4166666666667,3
47 min,12.6,3,11,3,6.77777777777778,3,9.9,3,16.5882352941176,3,12.2727272727273,3,45.6428571428571,3,18.2222222222222,3,8,3,20.8636363636364,3
48 min,12.9090909090909,3,8.5,3,4.91304347826087,3,2,3,14,3,10.4,3,78.375,3,18.7142857142857,3,7.54166666666667,3,12.7857142857143,3
49 min,12.53125,3,14,3,5.33333333333333,3,4.28571428571429,3,10.4814814814815,3,11.3333333333333,3,63.3,3,12.8918918918919,3,5.85,3,17.8333333333333,3
