phaseNumber,oscPeriod2Ms_20190603_slice7,oscPeriod2Ms_20190603_slice9,oscPeriod2Ms_20190604_slice2,oscPeriod2Ms_20190604_slice3,oscPeriod2Ms_20190604_slice4,oscPeriod2Ms_20190604_slice7,oscPeriod2Ms_20190606_slice1,oscPeriod2Ms_20190606_slice2,oscPeriod2Ms_20190606_slice3,oscPeriod2Ms_20190607_slice4
1,499.840644328059,406.833372289347,576.986675022608,539.01666175247,511.921403418003,492.619194958513,416.976204245788,413.988072983026,449.949915632443,462.886655380644
2,492.99706282152,488.333388438902,653.332379451576,496.68327852244,518.899815722899,487.531738755646,802.300026326588,457.797480830706,449.845078197718,439.854936003872
3,496.39290018172,484.33349017052,583.557575779104,585.533282097422,575.720669118271,500.580897194448,0,440.773746736141,422.030283340011,441.611076193485
