phaseNumber,oscIndex4_20190603_slice7,oscIndex4_20190603_slice9,oscIndex4_20190604_slice2,oscIndex4_20190604_slice3,oscIndex4_20190604_slice4,oscIndex4_20190604_slice7,oscIndex4_20190606_slice1,oscIndex4_20190606_slice2,oscIndex4_20190606_slice3,oscIndex4_20190607_slice4
1,0.342771539165492,0.167252312440177,0.332517712494068,0.195747282808461,0.371799150404255,0.464167660054718,NaN,0.454444663617144,0.380206152762484,0.308494619843276
2,0.334200807266184,0.220471012601668,0.279957485792101,0.169125218120944,0.384145597010875,0.381208765624731,0.0504856629540233,0.437355321358912,0.282017790316702,0.513026104616322
3,0.277446110885169,0.272056843511262,0.216985424732245,NaN,0.345500769808889,0.321702805412872,0,0.366224745800834,0.315546486518269,0.507781725726079
