phaseNumber,nSpikesPerBurstInOsc_20190603_slice7,nSpikesPerBurstInOsc_20190603_slice9,nSpikesPerBurstInOsc_20190604_slice2,nSpikesPerBurstInOsc_20190604_slice3,nSpikesPerBurstInOsc_20190604_slice4,nSpikesPerBurstInOsc_20190604_slice7,nSpikesPerBurstInOsc_20190606_slice1,nSpikesPerBurstInOsc_20190606_slice2,nSpikesPerBurstInOsc_20190606_slice3,nSpikesPerBurstInOsc_20190607_slice4
1,14.0092012288786,6.37541125541126,7.89186021505377,10.1814158305463,12.0301587301587,13.9865796845054,14.3158572567783,17.943526151787,9.80614624505929,7.5798418972332
2,14.1507834101383,9.18141414141414,7.51386324786325,9.93258980785297,19.4825923096511,13.2568864468864,26.9667230576441,17.7811987909789,9.82001748251747,14.2780293880837
3,12.2713906810036,10.0892857142857,5.95937637241985,10.5380952380952,12.6458061002179,12.5796736596737,68.455,11.3254449959713,6.91404761904762,17.5693939393939
