phaseNumber,phaseName,filtFreq_1,filtFreq_2,signal2Noise,minDelayMs,binWidthMs,binWidthSec,filterWidthMs,minRelProm,minSpikeRateInBurstHz,minBurstLengthMs,maxInterBurstIntervalMs,maxInterBurstIntervalSec,resolutionMs,siMs,minTimeMs,maxTimeMs,siSeconds,minTimeSec,maxTimeSec,idxStimStart,stimStartMs,stimStartSec,baseWindow_1,baseWindow_2,baseSlopeNoise,slopeThreshold,idxDetectStart,detectStartMs,detectStartSec,nSpikesTotal,idxFirstSpike,firstSpikeMs,firstSpikeSec,vMin,vMax,vRange,slopeMin,slopeMax,slopeRange,nBins,halfNBins,histLeftMs,histLeftSec,nSpikesPerBurst,nSpikesPerBurstIn10s,nSpikesPerBurstInOsc,nSpikesIn10s,nSpikesInOsc,nBurstsTotal,nBurstsIn10s,nBurstsInOsc,iBinLastOfLastBurst,iBinLastOfLastBurstIn10s,iBinLastOfLastBurstInOsc,timeOscEndMs,timeOscEndSec,oscDurationMs,oscDurationSec,oscIndex1,oscIndex2,oscIndex3,oscIndex4,oscPeriod1Ms,oscPeriod2Ms,minOscPeriod2Bins,maxOscPeriod2Bins,figPathBase,figTitleBase
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.49860992406062,3.3496220221165,29627,2962.7,2.9627,233,29670,2967,2.967,-4.21446841714654,4.79836353335034,9.01283195049688,-17.8893931252584,15.0338735588564,32.9232666841148,4550,2275,2960,2.96,12.8235294117647,12.8235294117647,12.8235294117647,229,224,17,17,17,410,410,410,7060,7.06,4122.3,4.1223,0.977148372220953,0.923349933271376,0.943749958018255,0.369428890267272,390,399.999701463371,26,58.5,20190606_slice3_trace1,20190606\_slice3\_trace1
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.49214206974476,3.33516538006149,29627,2962.7,2.9627,353,29680,2968,2.968,-3.59815006599439,3.95325339204766,7.55140345804205,-14.5983494343911,9.68495188340396,24.2833013177951,5519,2759,2960,2.96,10.6129032258065,10.6129032258065,10.6129032258065,347,346,31,31,31,903,903,903,11990,11.99,9052.3,9.0523,0.973665327213175,0.728751303792472,0.558739177675966,0.393273980487519,420,498.571341188422,28,63,20190606_slice3_trace2,20190606\_slice3\_trace2
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.51206391875732,3.37969375472547,29627,2962.7,2.9627,291,29632,2963.2,2.9632,-4.13125632363488,4.58129223442714,8.71254855806202,-17.3017436221959,11.5625022218701,28.864245844066,4999,2499,2960,2.96,11.7391304347826,12.0909090909091,12.0909090909091,282,279,23,22,22,4999,509,509,8050,8.05,5112.3,5.1123,0.964631274796627,0.782390386785441,0.850256325052131,0.361863679258353,410,406.24990694244,27.3333333333333,61.5,20190606_slice3_trace3,20190606\_slice3\_trace3
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.51028769468532,3.37572362269028,29627,2962.7,2.9627,241,29693,2969.3,2.9693,-4.17160450821188,4.15599628514639,8.32760079335827,-16.8576632672697,11.0775640411284,27.9352273083982,4525,2262,2960,2.96,9.33333333333333,9.95454545454546,9.95454545454546,229,227,24,22,22,3989,413,413,7090,7.09,4152.3,4.1523,0.968642035705323,0.791076708020557,0.829741303501009,0.33725489631984,380,386.666755563455,25.3333333333333,57,20190606_slice3_trace4,20190606\_slice3\_trace4
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.5033660415854,3.36025267105655,29627,2962.7,2.9627,426,29633,2963.3,2.9633,-4.06248255219521,4.65905742670813,8.72153997890333,-16.9217238459638,12.4737353505278,29.3954591964917,3980,1990,2960,2.96,12.9354838709677,12.9354838709677,12.9354838709677,419,415,31,31,31,875,875,875,11710,11.71,8772.3,8.7723,0.983138972499307,0.736944075390984,0.542163980910467,0.390419748740068,430,503.845977683383,28.6666666666667,64.5,20190606_slice3_trace5,20190606\_slice3\_trace5
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.4907029847106,3.33194880525791,29627,2962.7,2.9627,260,29628,2962.8,2.9628,-4.47624863762689,5.89680810180322,10.3730567394301,-19.9195702568629,16.4710752805931,36.3906455374561,2836,1418,2960,2.96,11.4761904761905,11.4761904761905,11.4761904761905,258,257,21,21,21,516,516,516,8120,8.12,5182.3,5.1823,0.990545377364617,0.883470382526533,0.573700286991153,0.41715852498702,390,467.142861597067,26,58.5,20190606_slice3_trace6,20190606\_slice3\_trace6
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.49854490510598,3.34947669482431,29627,2962.7,2.9627,265,29638,2963.8,2.9638,-6.03720654357947,5.86489064238448,11.9020971859639,-17.1746154841646,16.0838465129333,33.2584619970979,5059,2529,2960,2.96,13.3157894736842,13.3157894736842,13.3157894736842,263,262,19,19,19,425,425,425,7210,7.21,4272.3,4.2723,0.987836519265613,0.787867454442402,0.754446577897163,0.330878848702006,410,408.888846993156,27.3333333333333,61.5,20190606_slice3_trace7,20190606\_slice3\_trace7
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.4854388054008,3.32018256064591,29627,2962.7,2.9627,293,29657,2965.7,2.9657,-18.1468899663986,49.1331040520227,67.2799940184213,-56.9065597599479,106.747809358941,163.654369118889,4511,2255,2960,2.96,11.08,11.4166666666667,11.6521739130435,287,281,25,24,23,4511,870,536,8320,8.32,5382.3,5.3823,0.966531987120756,0.875248158510864,0.914705591497191,0.346204128755937,400,408.000230557328,26.6666666666667,60,20190606_slice3_trace8,20190606\_slice3\_trace8
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.47783393696242,3.30318451840187,29627,2962.7,2.9627,315,29667,2966.7,2.9667,-3.93817275043605,4.44545026212577,8.38362301256182,-15.840648240049,11.7439532345204,27.5846014745694,4072,2036,2960,2.96,10.2962962962963,11.695652173913,11.695652173913,287,283,27,23,23,1483,470,470,7660,7.66,4722.3,4.7223,0.966016755177626,0.828675347712706,0.934958566783299,0.404625893561149,410,410.000123366032,27.3333333333333,61.5,20190606_slice3_trace9,20190606\_slice3\_trace9
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.51654627433213,3.38971250390314,29627,2962.7,2.9627,262,29876,2987.6,2.9876,-3.23646719538027,4.47585074051838,7.71231793589866,-14.450184354967,11.8461200411978,26.2963043961648,2341,1170,2980,2.98,11.6666666666667,11.6666666666667,11.6666666666667,261,254,21,21,21,410,410,410,7080,7.08,4142.3,4.1423,0.973320621926535,0.906069710641489,0.979128287682745,0.460223309614711,400,402.222202553142,26.6666666666667,60,20190606_slice3_trace10,20190606\_slice3\_trace10
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.48943363029726,3.32911160431019,29627,2962.7,2.9627,355,29660,2966,2.966,-3.97738398016355,4.64913696571476,8.62652094587832,-17.527427004022,11.1455198468453,28.6729468508673,4309,2154,2960,2.96,9.91176470588235,9.91176470588235,9.91176470588235,354,351,34,34,34,819,819,819,11150,11.15,8212.3,8.2123,0.991011272238481,0.823828426481625,0.882623746324342,0.372654046372629,430,430.714203375189,28.6666666666667,64.5,20190606_slice3_trace11,20190606\_slice3\_trace11
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.50077959486521,3.35447156767943,29627,2962.7,2.9627,223,29637,2963.7,2.9637,-4.51149482459525,6.12391072783153,10.6354055524268,-16.5468653762164,15.1654691029316,31.712334479148,5602,2801,2960,2.96,10.8,10.8,10.8,222,222,20,20,20,453,453,453,7490,7.49,4552.3,4.5523,0.969580853287166,0.888695595076709,0.925759753277841,0.356310146797407,400,405.454784592833,26.6666666666667,60,20190606_slice3_trace12,20190606\_slice3\_trace12
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.49717651540059,3.3464181348759,29627,2962.7,2.9627,263,29634,2963.4,2.9634,-4.72511304060867,5.20953106913095,9.93464410973961,-19.8305479259335,11.7229349513901,31.5534828773237,587,293,2960,2.96,13.6111111111111,13.6111111111111,13.6111111111111,263,261,18,18,18,467,467,467,7630,7.63,4692.3,4.6923,0.994700928355604,0.951601710242057,0.979510390527981,0.485012949729271,420,418.333299866349,28,63,20190606_slice3_trace13,20190606\_slice3\_trace13
1,baseline,100,1000,2.23515270273961,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.4828156566716,3.31431942267414,29627,2962.7,2.9627,271,29638,2963.8,2.9638,-3.74306662824016,4.12896166353532,7.87202829177547,-13.8885865494719,10.1195626019926,24.0081491514645,1325,662,2960,2.96,14.9411764705882,15.75,15.75,269,268,17,16,16,1325,471,471,7670,7.67,4732.3,4.7323,0.98524563091681,0.884214328306102,0.494574045261878,0.467551504652015,400,471.250171726028,26.6666666666667,60,20190606_slice3_trace14,20190606\_slice3\_trace14
