phaseNumber,phaseName,filtFreq_1,filtFreq_2,signal2Noise,minDelayMs,binWidthMs,binWidthSec,filterWidthMs,minRelProm,minSpikeRateInBurstHz,minBurstLengthMs,maxInterBurstIntervalMs,maxInterBurstIntervalSec,resolutionMs,siMs,minTimeMs,maxTimeMs,siSeconds,minTimeSec,maxTimeSec,idxStimStart,stimStartMs,stimStartSec,baseWindow_1,baseWindow_2,baseSlopeNoise,slopeThreshold,idxDetectStart,detectStartMs,detectStartSec,nSpikesTotal,idxFirstSpike,firstSpikeMs,firstSpikeSec,vMin,vMax,vRange,slopeMin,slopeMax,slopeRange,nBins,halfNBins,histLeftMs,histLeftSec,nSpikesPerBurst,nSpikesPerBurstIn10s,nSpikesPerBurstInOsc,nSpikesIn10s,nSpikesInOsc,nBurstsTotal,nBurstsIn10s,nBurstsInOsc,iBinLastOfLastBurst,iBinLastOfLastBurstIn10s,iBinLastOfLastBurstInOsc,timeOscEndMs,timeOscEndSec,oscDurationMs,oscDurationSec,oscIndex1,oscIndex2,oscIndex3,oscIndex4,oscPeriod1Ms,oscPeriod2Ms,minOscPeriod2Bins,maxOscPeriod2Bins,figPathBase,figTitleBase
1,baseline,100,1000,2.11316433239672,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.30894376482342,2.76601327693792,29627,2962.7,2.9627,134,29662,2966.2,2.9662,-2.19337739237662,2.6120651820932,4.80544257446982,-8.93026396215794,6.57245676289737,15.5027207250553,5637,2818,2960,2.96,7.28571428571429,7.28571428571429,7.28571428571429,113,110,14,14,14,183,183,183,4790,4.79,1852.3,1.8523,0.884912118302951,0.765161047309767,0.764705760012436,0.272993020485648,410,453.333097624082,27.3333333333333,61.5,20190603_slice9_trace1,20190603\_slice9\_trace1
1,baseline,100,1000,2.11316433239672,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.3074221566993,2.76279786892215,29627,2962.7,2.9627,107,29628,2962.8,2.9628,-3.3953341973434,2.47396505081287,5.86929924815627,-8.24759274623773,7.44928228406825,15.696875030306,5576,2788,2960,2.96,6.36363636363636,6.36363636363636,6.36363636363636,85,77,11,11,11,145,145,145,4410,4.41,1472.3,1.4723,0.895974560372374,0.634982299289268,0.815216901197039,0.146191250607202,400,459.999809712544,26.6666666666667,60,20190603_slice9_trace2,20190603\_slice9\_trace2
1,baseline,100,1000,2.11316433239672,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.31769667821973,2.78450962133157,29627,2962.7,2.9627,133,29630,2963,2.963,-3.31801516239414,2.22685792919068,5.54487309158482,-9.45454107672387,8.92193517216946,18.3764762488933,5661,2830,2960,2.96,5.86666666666667,6.14285714285714,6.14285714285714,102,94,15,14,14,1295,147,147,4430,4.43,1492.3,1.4923,0.850061656419375,0.555407853377002,0.64444434874504,0.109842919051457,390,450.000298140649,26,58.5,20190603_slice9_trace3,20190603\_slice9\_trace3
1,baseline,100,1000,2.11316433239672,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.33684557521939,2.82497438747599,29627,2962.7,2.9627,128,29639,2963.9,2.9639,-2.25123529524583,2.96820598319796,5.21944127844379,-9.55599020367227,8.16739094416819,17.7233811478405,5630,2815,2960,2.96,6.28571428571429,6.30769230769231,6.30769230769231,95,90,14,13,13,2939,185,185,4810,4.81,1872.3,1.8723,0.934753301018182,0.8366892431033,0.942028416998953,0.242997442061967,430,459.999904018886,28.6666666666667,64.5,20190603_slice9_trace4,20190603\_slice9\_trace4
1,baseline,100,1000,2.11316433239672,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.33830404124526,2.82805636586187,29627,2962.7,2.9627,110,29628,2962.8,2.9628,-2.01634355141753,3.23119501080678,5.24753856222431,-7.47684872222843,7.26011142377264,14.7369601460011,5688,2844,2960,2.96,6.5,6.5,6.5,92,87,12,12,12,196,196,196,4920,4.92,1982.3,1.9823,0.893701391062551,0.762274052339271,0.834586370503043,0.13765149555231,410,443.333076943834,27.3333333333333,61.5,20190603_slice9_trace5,20190603\_slice9\_trace5
1,baseline,100,1000,2.11316433239672,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.33333631534734,2.81755874468126,29627,2962.7,2.9627,111,29686,2968.6,2.9686,-2.18213225532038,2.69145373101692,4.8735859863373,-9.01671017340599,7.14347942241696,16.1601895958229,3311,1655,2960,2.96,9.36363636363636,9.36363636363636,9.36363636363636,108,108,11,11,11,203,203,203,4990,4.99,2052.3,2.0523,0.945041087140793,0.931352916910055,0.887754542541803,0.215904456865922,430,490.000094936918,28.6666666666667,64.5,20190603_slice9_trace6,20190603\_slice9\_trace6
1,baseline,100,1000,2.11316433239672,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.34539068291569,2.8430316042763,29627,2962.7,2.9627,105,29628,2962.8,2.9628,-2.61465654627523,3.00057345749962,5.61523000377485,-8.86579928471781,6.80137280768679,15.6671720924046,4160,2080,2960,2.96,7.54545454545455,7.54545454545455,7.54545454545455,99,96,11,11,11,200,200,200,4960,4.96,2022.3,2.0223,0.855466668274419,0.627772067414643,0.729824560655023,0.135942751208575,430,475.000000487146,28.6666666666667,64.5,20190603_slice9_trace7,20190603\_slice9\_trace7
1,baseline,100,1000,2.11316433239672,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.34692990573048,2.84628423502813,29627,2962.7,2.9627,91,29672,2967.2,2.9672,-2.99459101423833,3.00541027579351,6.00000129003184,-10.2863467248627,7.53222081035407,17.8185675352167,4546,2273,2960,2.96,6.16666666666667,6.16666666666667,6.16666666666667,86,82,12,12,12,210,210,210,5060,5.06,2122.3,2.1223,0.935379005504533,0.808732619935289,0.670833131951892,0.170882832778403,450,383.999893946809,30,67.5,20190603_slice9_trace8,20190603\_slice9\_trace8
1,baseline,100,1000,2.11316433239672,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.3578657129905,2.86939339287596,29627,2962.7,2.9627,99,29659,2965.9,2.9659,-2.47937240132252,2.91491158728209,5.39428398860461,-7.73191385184759,7.39639987308669,15.1283137249343,5357,2678,2960,2.96,7.6,7.6,7.6,88,83,10,10,10,188,188,188,4840,4.84,1902.3,1.9023,0.907197225037323,0.77547721701554,0.80444436430248,0.119716646491215,470,450.000059664522,31.3333333333333,70.5,20190603_slice9_trace9,20190603\_slice9\_trace9
1,baseline,100,1000,2.11316433239672,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.3490038978696,2.85066692124218,29627,2962.7,2.9627,132,29652,2965.2,2.9652,-2.69327682068565,3.81716138115007,6.51043820183572,-8.93919772900989,7.26972403723828,16.2089217662482,5440,2720,2960,2.96,8.5,9,9,109,107,12,11,11,1651,204,204,5000,5,2062.3,2.0623,0.94554900456203,0.747176537192126,0.680652432639809,0.205651556350584,430,476.666783255551,28.6666666666667,64.5,20190603_slice9_trace10,20190603\_slice9\_trace10
