phaseNumber,nSpikesPerBurst_20190603_slice7,nSpikesPerBurst_20190603_slice9,nSpikesPerBurst_20190604_slice2,nSpikesPerBurst_20190604_slice3,nSpikesPerBurst_20190604_slice4,nSpikesPerBurst_20190604_slice7,nSpikesPerBurst_20190606_slice1,nSpikesPerBurst_20190606_slice2,nSpikesPerBurst_20190606_slice3,nSpikesPerBurst_20190607_slice4
1,12.215333149892,6.44545454545455,7.70904958183991,10.1002564102564,11.3444692982456,13.9865796845054,14.1318250377074,17.8068594851203,9.74369565217392,7.3787084398977
2,10.4600626892408,9.09414141414141,7.61497435897436,9.93258980785297,18.5112626262626,12.2608333159567,25.5203715170279,15.6623468351295,9.57641626794258,14.0615453523238
3,7.40728054662725,9.92928571428572,5.9663939162795,NaN,13.3645413410119,12.2007079195314,66.2363636363636,11.4984195685469,6.95357142857143,14.1715343915344
