Time,oscIndex2_20190603_slice7,phaseNumber_20190603_slice7,oscIndex2_20190603_slice9,phaseNumber_20190603_slice9,oscIndex2_20190604_slice2,phaseNumber_20190604_slice2,oscIndex2_20190604_slice3,phaseNumber_20190604_slice3,oscIndex2_20190604_slice4,phaseNumber_20190604_slice4,oscIndex2_20190604_slice7,phaseNumber_20190604_slice7,oscIndex2_20190606_slice1,phaseNumber_20190606_slice1,oscIndex2_20190606_slice2,phaseNumber_20190606_slice2,oscIndex2_20190606_slice3,phaseNumber_20190606_slice3,oscIndex2_20190607_slice4,phaseNumber_20190607_slice4
-20 min,0.732940379293598,1,0.765161047309767,1,0.818847678810208,1,0.716024856864402,1,0.947187706766945,1,0.959305663236396,1,0.964974032291715,1,0.864058528452168,1,0.923349933271376,1,0.980179018465447,1
-19 min,0.786983515861491,1,0.634982299289268,1,0.894803519469569,1,0.792700664294065,1,0.914197415055226,1,0.968369685298676,1,0.856114283994061,1,0.861647050861324,1,0.728751303792472,1,0.970124023903723,1
-18 min,0.914408983193216,1,0.555407853377002,1,0.998846081675049,1,0.786231616623413,1,0.808003465933868,1,0.980375751756365,1,0.927777497634597,1,0.830567824496351,1,0.782390386785441,1,0.964130987110891,1
-17 min,0.763051386278662,1,0.8366892431033,1,0.977123435459942,1,0.843070967660551,1,0.738114447294987,1,0.997941628038689,1,0.874001799728648,1,0.874767217898187,1,0.791076708020557,1,0.799372344534958,1
-16 min,0.78616371805773,1,0.762274052339271,1,0.873963100704945,1,0.805929608275674,1,0.948043030889054,1,0.962271260851908,1,0.487505302211696,1,0.941399402980448,1,0.736944075390984,1,0.853855853329457,1
-15 min,0.766916093515001,1,0.931352916910055,1,0.994661654210538,1,0.734386979374346,1,0.908212273887927,1,0.978878859777395,1,0.816419810961389,1,0.845932421692322,1,0.883470382526533,1,0.791845822893042,1
-14 min,0.754773267529547,1,0.627772067414643,1,0.933292416674034,1,0.987247812329169,1,0.903452863189084,1,0.99319335201635,1,0.863547692217452,1,0.858308939436091,1,0.787867454442402,1,0.995976770012433,1
-13 min,0.816241630915285,1,0.808732619935289,1,0.749726729251974,1,0.618678462322268,1,0.95028914926496,1,0.958351409660909,1,0.919027105894685,1,0.86306647688059,1,0.875248158510864,1,0.993527622706336,1
-12 min,0.815674699255376,1,0.77547721701554,1,0.838238736829973,1,0.781244964352135,1,0.830682349748505,1,0.954906279697692,1,0.909164524775708,1,0.874754420899265,1,0.828675347712706,1,0.904268952535282,1
-11 min,0.807652184109524,1,0.747176537192126,1,0.958464480032899,1,0.662600509161643,1,0.889491736568753,1,0.993767010952617,1,0.852606121306091,1,0.900294143962381,1,0.906069710641489,1,0.915268907805254,1
-10 min,0.714281601394115,1,0.675687555960247,1,0.857913815627501,1,0.685347609833385,1,0.849845500860605,1,0.981072589876096,1,0.926362501763428,1,0.932800994939262,1,0.823828426481625,1,0.795916653467045,1
-9 min,0.692023945860158,1,0.921463273085648,1,0.907224478851928,1,0.763936016778202,1,0.942648407438522,1,0.997846018378014,1,0.939155606868909,1,0.861004515600907,1,0.888695595076709,1,0.85269985597141,1
-8 min,0.89105627254377,1,0.680952297427285,1,0.892035080481946,1,0.896821251605074,1,0.95437166627404,1,0.964402267113622,1,0.75309376478984,1,0.805443008818939,1,0.951601710242057,1,0.822970006929995,1
-7 min,0.797061389985921,1,0.826631409304435,1,0.879891702615265,1,0.832763381564028,1,0.874737894818252,1,0.950945492657685,1,0.415491248968865,1,0.852692168187169,1,0.884214328306102,1,0.821544542296632,1
-6 min,0.799953745385598,1,0.859000734926635,1,0.909343728252837,1,0.753406663751361,1,0.952916410781496,1,0.990415775106311,1,0.636399509915254,1,0.915935559877752,1,0.881463119587156,1,0.875328352597518,1
-5 min,0.644978846976343,1,0.742375750923819,1,0.913392180250188,1,0.62080977761165,1,0.81199807544917,1,0.983925741654321,1,0.508084273240103,1,0.82145353522652,1,0.91144123243288,1,0.907478064583881,1
-4 min,0.818021208316283,1,0.772371507639833,1,0.883441423226272,1,0.817945758432992,1,0.888681276022505,1,0.986501463408681,1,0.646707002844715,1,0.88845843564452,1,0.90858634700422,1,0.96785790383009,1
-3 min,0.658309294042294,1,0.727001212563608,1,0.836107166759995,1,0.84487077838531,1,0.870971725295857,1,0.989956089452678,1,0.547239953607769,1,0.857018312849905,1,0.861027022549198,1,0.99415575365842,1
-2 min,0.703732960899735,1,0.741302543210345,1,0.892756088659512,1,0.724352144564324,1,0.965103956184821,1,0.983037669902204,1,0.6599490753189,1,0.917476793670426,1,0.937042047028866,1,0.849383435678675,1
-1 min,0.770268615970634,1,0.784954317096571,1,0.902348076617228,1,0.890135818629897,1,0.925295592588227,1,0.99493370852928,1,0.757079030826379,1,0.867664741767615,1,0.8458988800099,1,0.911574155588277,1
0 min,0.730053162159005,2,0.732429068287742,2,0.783253181835334,2,0.774761678416157,2,0.967838807567405,2,0.990895963753677,2,0.672899504888562,2,0.910808361226188,2,0.915686791978951,2,0.984997865273674,2
1 min,0.75876930108215,2,0.845254576663333,2,0.977090798613625,2,0.806405935712931,2,0.936304574557272,2,0.975571094837664,2,0.758033877067979,2,0.915633101458154,2,0.866868478713205,2,0.882427130421221,2
2 min,0.752878891951144,2,0.806846864647806,2,0.981168999708981,2,0.883529721541072,2,0.975389388399142,2,0.999866069148743,2,0.743307149079222,2,0.868994431187329,2,0.792088006380446,2,0.946905071757744,2
3 min,0.782120054465188,2,0.669475318481575,2,0.823796824999979,2,0.723246647914703,2,0.956374963859213,2,0.973428297217162,2,0.744924569400402,2,0.932916384052671,2,0.955012279202293,2,0.985721021151343,2
4 min,0.737526627009591,2,0.851770832857306,2,0.811796221498016,2,0.872782257432293,2,0.932431948726079,2,0.985718346849442,2,0.723804759480344,2,0.783789478147105,2,0.835491261370591,2,0.902988980028069,2
5 min,0.673480811629723,2,0.846495051630278,2,0,2,0.891927399580449,2,0.91536227901186,2,0.984642858667903,2,0.782989395450031,2,0.80773776064927,2,0.938783014808371,2,0.824801046025952,2
6 min,0.700859968131327,2,0.751993114147221,2,0.964008220884719,2,0.817321242905514,2,0.919667648814806,2,0.967353500178223,2,0.694415232945384,2,0.808022280118472,2,0.769898270691938,2,0.848191622063003,2
7 min,0.719120232684395,2,0.81064498116989,2,0.896976628648213,2,0.767032571114258,2,0.94387650859967,2,0.998656321715433,2,0.814172872523025,2,0.858669114268865,2,0.84529622232542,2,0.710512624459495,2
8 min,0.681929852033488,2,0.795844531271397,2,0.931317522828211,2,0.793551117660185,2,0.790848721050921,2,0.996040098131453,2,0.705028499852377,2,0.839349108793286,2,0.897992848898196,2,0.993645208602266,2
9 min,0.70816327395846,2,0.739040327249467,2,0.97660097303112,2,0.733075117427952,2,0.946755274627933,2,0.998517524695288,2,0.761056417684625,2,0.831095089527525,2,0.781447258507491,2,0.877091960394243,2
10 min,0.849278286940228,2,0.906872352837915,2,0.994019213003808,2,0.814533105589048,2,0.930971963093624,2,0.962954355077301,2,0.926694625618509,2,0.905016283091438,2,0.668146267740381,2,0.78728549102203,2
11 min,0.77428154068788,2,0.882943607029647,2,0.98130251549956,2,0.919221889961481,2,0.95883930109848,2,0.985818202260861,2,0.745916386086471,2,0.865117462312363,2,0.906658977151168,2,0.869046750364537,2
12 min,0.766605220724248,2,0.745964030203808,2,0.997838870518783,2,0.728534050903967,2,0.972737756360901,2,0.972749735365128,2,0.74223219196287,2,0.770754482869407,2,0.960481776840749,2,0.591074934565506,2
13 min,0.8054913293388,2,0.784089918643535,2,0.996328380961587,2,0.617834131502323,2,0.950672748389141,2,0.977699910729679,2,0.574662477606423,2,0.878561794937037,2,0.877155414439837,2,0.908063735191772,2
14 min,0.851290995879798,2,0.784385902758888,2,0.994458325576081,2,0.872397358132687,2,0.907608502271521,2,0.999944932824883,2,0.724167397459537,2,0.756076370844252,2,0.823238879121689,2,0.828799686892134,2
15 min,0.789318883115862,2,0.930945221373852,2,0.978874259140586,2,0.885815062070601,2,0.929073459998235,2,0.98417932368424,2,0.690103219319421,2,0.805614581715563,2,0.714807028976395,2,0.830282667025797,2
16 min,0.697082472349262,2,0.748228404030617,2,0.96287615914038,2,0.800634587955995,2,0.976909241528992,2,0.986796319341502,2,0.702735870366601,2,0.910670074216643,2,0.829165724628913,2,0.682592508706972,2
17 min,0.648430234961897,2,0.917377781701684,2,0.948768704177429,2,0.769219312884764,2,0.923445603118635,2,0.957692036645969,2,0.609822762299056,2,0.790190003304535,2,0.72989120717934,2,0.907344898167068,2
18 min,0.66422632547232,2,0.724226881503232,2,0.873264293424469,2,0.603250621408746,2,0.957759161048953,2,0.953755167464086,2,0.618413878730636,2,0.923459202689032,2,0.803248066847702,2,0.95832494595474,2
19 min,0.685156361227218,2,0.714593400360314,2,0.930459256559346,2,0.803729343260506,2,0.922742062148086,2,0.986666523193174,2,0.63522379447004,2,0.844670068201899,2,0.728365793067935,2,0.935419386973388,2
20 min,0.707862890535507,2,0.874184443361618,2,1,2,0.910200127726432,2,0.972701787863669,2,0.971982987436137,2,0.592329094914849,2,0.900670277230512,2,0.790908535911144,2,0.917689790112753,2
21 min,0.617741817701613,2,0.749324109311228,2,0.985758761118283,2,0.741450597487309,2,0.897901949127891,2,0.966781407439183,2,0.574035917640963,2,0.881587504943553,2,0.768970751838727,2,0.805564149743685,2
22 min,0.731151307568566,2,0.903206618441669,2,0,2,0.716041577424193,2,0.934708869769736,2,0.982135106404183,2,0.587074141042201,2,0.707437957343136,2,0.83984873324736,2,0.850609996578264,2
23 min,0.768190800619889,2,0.812214674228952,2,0.844813269954925,2,0.838263985049721,2,0.924536284361233,2,0.975734117301036,2,0.563357211468782,2,0.840605567890743,2,0.466214830606427,2,0.738926120147677,2
24 min,0.822127532830054,2,0.794952427728587,2,0.995326459276811,2,0.713011252571565,2,0.973901168875604,2,0.99783076044161,2,0.53107443014191,2,0.785818049575105,2,0.722215785459615,2,0.893085154688728,2
25 min,0.773069345884575,2,0.710749819685491,2,0.880559453299826,2,0.827202262805336,2,0.947440834191176,2,0.966800471828599,2,0.489204680145856,2,0.847838985653132,2,0.802154256582592,2,0.62857012511933,2
26 min,0.727275238796162,2,0.936418803340595,2,0.993779341672869,2,0.89746474983282,2,0.873057936957999,2,0.989351968119412,2,0.575603547328089,2,0.856703531822912,2,0.885784035278615,2,0.816925204244973,2
27 min,0.788204279630566,2,0.85974824013333,2,0.711692039510947,2,0.854291526826045,2,0.864838076743639,2,0.972853007344267,2,0.547551079015636,2,0.871059936896745,2,0.88060173968315,2,0.754595153294079,2
28 min,0.764820998571506,2,0.739809705888264,2,0.997026745502832,2,0.777857235374713,2,0.954952047225691,2,0.986093001813363,2,0.548894045563482,2,0.819319099146649,2,0.835513929657327,2,0.7782424782844,2
29 min,0.747387028096359,2,0.832185129387003,2,0.894818688093093,2,0.873437307864443,2,0.820209072784591,2,0.979454972192251,2,0.51465188889625,2,0.865880994332774,2,0.806318134558204,2,0.903949079684561,2
