phaseNumber,oscIndex1_20190603_slice7,oscIndex1_20190603_slice9,oscIndex1_20190604_slice2,oscIndex1_20190604_slice3,oscIndex1_20190604_slice4,oscIndex1_20190604_slice7,oscIndex1_20190606_slice1,oscIndex1_20190606_slice2,oscIndex1_20190606_slice3,oscIndex1_20190607_slice4
1,0.93523133287964,0.891547985963265,0.992892461360072,0.911286855250726,0.983826410551122,0.992864417043499,0.707559467241399,0.974210469381292,0.970462754365384,0.996529817250443
2,0.938712523695527,0.975212365900893,0.99383223279634,0.898117799030947,0.927923352203645,0.990190961668776,0.675993408534626,0.951331913447434,0.96652063349564,0.996993761518472
3,0.916674280479524,0.986946895167862,0.99951610272767,NaN,0.950464112239949,0.987758033146438,0,0.947833582919731,0.910827830969202,0.997555515440633
