phaseNumber,nSpikesPerBurstIn10s_20190603_slice7,nSpikesPerBurstIn10s_20190603_slice9,nSpikesPerBurstIn10s_20190604_slice2,nSpikesPerBurstIn10s_20190604_slice3,nSpikesPerBurstIn10s_20190604_slice4,nSpikesPerBurstIn10s_20190604_slice7,nSpikesPerBurstIn10s_20190606_slice1,nSpikesPerBurstIn10s_20190606_slice2,nSpikesPerBurstIn10s_20190606_slice3,nSpikesPerBurstIn10s_20190607_slice4
1,14.2199155145929,6.37541125541126,7.85052688172043,10.1814158305463,12.0301587301587,13.9865796845054,14.2237623951182,17.943526151787,9.80614624505929,7.5798418972332
2,13.9722119815668,9.18141414141414,7.51386324786325,9.93258980785297,19.2878210678211,13.2568864468864,26.9667230576441,17.7811987909789,9.82001748251747,14.2780293880837
3,12.2673274410774,10.0892857142857,5.95937637241985,10.3625396825397,12.4309454191033,12.5796736596737,66.5516666666667,11.7388820638821,6.91404761904762,17.5693939393939
