Time,oscDurationSec_20190603_slice7,phaseNumber_20190603_slice7,oscDurationSec_20190603_slice9,phaseNumber_20190603_slice9,oscDurationSec_20190604_slice2,phaseNumber_20190604_slice2,oscDurationSec_20190604_slice3,phaseNumber_20190604_slice3,oscDurationSec_20190604_slice4,phaseNumber_20190604_slice4,oscDurationSec_20190604_slice7,phaseNumber_20190604_slice7,oscDurationSec_20190606_slice1,phaseNumber_20190606_slice1,oscDurationSec_20190606_slice2,phaseNumber_20190606_slice2,oscDurationSec_20190606_slice3,phaseNumber_20190606_slice3,oscDurationSec_20190607_slice4,phaseNumber_20190607_slice4
28 min,7.6023,2,1.5423,2,7.3323,2,3.8423,2,6.3523,2,4.6723,2,3.4423,2,5.5623,2,6.9923,2,6.3023,2
29 min,6.5923,2,2.0823,2,6.6423,2,3.6523,2,4.2223,2,3.1923,2,4.0023,2,4.9523,2,4.2723,2,6.3923,2
30 min,5.5723,3,2.0023,3,6.7323,3,4.3023,3,3.7123,3,3.6423,3,4.5423,3,5.0923,3,4.7923,3,6.8023,3
31 min,6.2823,3,2.2123,3,6.2423,3,4.8823,3,5.8423,3,3.5423,3,4.8523,3,5.0723,3,4.5623,3,5.9923,3
32 min,7.8323,3,1.0723,3,1.7623,3,3.2623,3,5.0723,3,2.9623,3,3.6023,3,5.0223,3,6.2823,3,5.8123,3
33 min,5.5623,3,1.4523,3,7.8823,3,4.3423,3,4.2523,3,3.5223,3,3.5723,3,5.6023,3,5.5823,3,6.9923,3
34 min,18.9923,3,1.5923,3,7.3823,3,3.1123,3,3.0523,3,3.5823,3,3.6123,3,4.6223,3,3.7723,3,6.8923,3
35 min,15.5423,3,2.0023,3,3.5623,3,3.7223,3,7.0123,3,3.6423,3,2.7223,3,5.2223,3,4.4723,3,6.3823,3
36 min,7.2323,3,1.5123,3,6.1223,3,3.1923,3,5.3323,3,3.5623,3,3.5423,3,4.6823,3,5.6223,3,6.3123,3
37 min,5.3523,3,2.0923,3,5.7423,3,3.6923,3,7.1623,3,3.1723,3,2.3123,3,5.0523,3,3.5523,3,6.3423,3
38 min,8.2523,3,1.5823,3,6.6623,3,3.0723,3,5.2123,3,3.5723,3,3.9723,3,4.6323,3,5.3523,3,6.3823,3
39 min,6.7723,3,1.1223,3,4.8123,3,4.8723,3,7.0723,3,3.5623,3,4.0423,3,5.6423,3,4.0523,3,6.5023,3
40 min,7.1223,3,2.6923,3,6.1523,3,2.8623,3,5.8823,3,4.0123,3,2.6723,3,0,3,4.5523,3,6.8823,3
41 min,5.4423,3,2.0423,3,7.2623,3,3.0523,3,4.9523,3,3.6223,3,3.0723,3,0.272300000000004,3,3.5423,3,5.7523,3
42 min,11.6523,3,1.9823,3,6.2623,3,4.2823,3,6.4823,3,3.1823,3,2.7223,3,1.5423,3,4.2123,3,5.8423,3
43 min,5.4523,3,1.5423,3,6.0223,3,4.2823,3,2.6323,3,3.6423,3,3.5223,3,5.5323,3,4.0223,3,6.0623,3
44 min,9.9323,3,1.4423,3,6.0923,3,4.2023,3,7.1123,3,2.6523,3,3.3823,3,4.0523,3,3.1223,3,6.9523,3
45 min,6.4523,3,1.9723,3,6.6123,3,4.3323,3,4.2123,3,3.5623,3,2.6723,3,9.4323,3,3.7223,3,5.4823,3
46 min,5.0923,3,2.0123,3,5.0523,3,3.6523,3,3.7023,3,3.1323,3,2.8523,3,8.3123,3,4.8323,3,7.4823,3
47 min,10.4423,3,2.1023,3,6.4123,3,2.2523,3,5.4523,3,3.0423,3,2.7823,3,7.3223,3,3.6723,3,6.3923,3
48 min,4.7723,3,1.1423,3,7.1123,3,5.2423,3,4.8923,3,3.5823,3,2.7523,3,7.8623,3,4.7523,3,6.5023,3
49 min,13.2423,3,2.1323,3,6.6123,3,0.212300000000004,3,8.1023,3,3.1123,3,2.8223,3,7.5523,3,5.2923,3,6.4023,3
