phaseNumber,phaseName,filtFreq_1,filtFreq_2,signal2Noise,minDelayMs,binWidthMs,binWidthSec,filterWidthMs,minRelProm,minSpikeRateInBurstHz,minBurstLengthMs,maxInterBurstIntervalMs,maxInterBurstIntervalSec,resolutionMs,siMs,minTimeMs,maxTimeMs,siSeconds,minTimeSec,maxTimeSec,idxStimStart,stimStartMs,stimStartSec,baseWindow_1,baseWindow_2,baseSlopeNoise,slopeThreshold,idxDetectStart,detectStartMs,detectStartSec,nSpikesTotal,idxFirstSpike,firstSpikeMs,firstSpikeSec,vMin,vMax,vRange,slopeMin,slopeMax,slopeRange,nBins,halfNBins,histLeftMs,histLeftSec,nSpikesPerBurst,nSpikesPerBurstIn10s,nSpikesPerBurstInOsc,nSpikesIn10s,nSpikesInOsc,nBurstsTotal,nBurstsIn10s,nBurstsInOsc,iBinLastOfLastBurst,iBinLastOfLastBurstIn10s,iBinLastOfLastBurstInOsc,timeOscEndMs,timeOscEndSec,oscDurationMs,oscDurationSec,oscIndex1,oscIndex2,oscIndex3,oscIndex4,oscPeriod1Ms,oscPeriod2Ms,minOscPeriod2Bins,maxOscPeriod2Bins,figPathBase,figTitleBase
1,baseline,100,1000,2.43840497265529,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.37832536965926,3.36091543531407,29627,2962.7,2.9627,189,29631,2963.1,2.9631,-7.68555587217291,9.1621448461099,16.8477007182828,-31.4472814756056,21.4041492602665,52.8514307358721,4026,2013,2960,2.96,13.4615384615385,13.9166666666667,13.9166666666667,175,174,13,12,12,3427,287,287,5830,5.83,2892.3,2.8923,0.796172615682354,0.848000919759606,0.858620675716985,0.187224834685936,430,483.333341179395,28.6666666666667,64.5,20190607_slice10_trace1,20190607\_slice10\_trace1
1,baseline,100,1000,2.43840497265529,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.36680911909597,3.33283415267421,29627,2962.7,2.9627,291,29637,2963.7,2.9637,-5.63112402336898,5.52953831847815,11.1606623418471,-17.9843558430779,11.2232933363918,29.2076491794697,5480,2740,2960,2.96,10.4615384615385,10.56,10.4615384615385,271,280,26,25,26,1076,984,1076,13720,13.72,10782.3,10.7823,0.911890172272011,0.84894436684536,0.511229258765969,0.208832548282574,480,574.117578500511,32,72,20190607_slice10_trace2,20190607\_slice10\_trace2
1,baseline,100,1000,2.43840497265529,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.37469649530763,3.35206677004993,29627,2962.7,2.9627,163,29636,2963.6,2.9636,-5.18365852065349,8.6405982683647,13.8242567890182,-26.2320342796009,24.5626429867198,50.7946772663207,5385,2692,2960,2.96,16.6666666666667,16.6666666666667,16.6666666666667,158,154,9,9,9,96,96,96,3920,3.92,982.300000000004,0.982300000000004,0.794715844171559,0.799940406486728,0.965516693947231,0.237018378500671,420,434.999769804932,28,63,20190607_slice10_trace3,20190607\_slice10\_trace3
1,baseline,100,1000,2.43840497265529,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.39872783074974,3.41066489789152,29627,2962.7,2.9627,169,29646,2964.6,2.9646,-5.38421339459588,5.38392113428659,10.7681345288825,-18.5432410778513,12.9104317107458,31.4536727885971,3523,1761,2960,2.96,15.6,15.6,15.6,167,165,10,10,10,279,279,279,5750,5.75,2812.3,2.8123,0.822938626440235,0.890332704631348,0.88970532539687,0.314894246784983,460,453.333105928161,30.6666666666667,69,20190607_slice10_trace4,20190607\_slice10\_trace4
1,baseline,100,1000,2.43840497265529,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.37720333493357,3.35817946025947,29627,2962.7,2.9627,217,29642,2964.2,2.9642,-5.13777215627275,4.91417930176634,10.0519514580391,-12.0271041338203,12.9455901177447,24.972694251565,4930,2465,2960,2.96,10.4210526315789,10.4210526315789,10.4210526315789,210,210,19,19,19,739,739,739,10350,10.35,7412.3,7.4123,0.83405133438725,0.776610040725153,0.650727150401882,0.182636695074372,460,457.272604991677,30.6666666666667,69,20190607_slice10_trace5,20190607\_slice10\_trace5
1,baseline,100,1000,2.43840497265529,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.37774487438989,3.35949995276264,29627,2962.7,2.9627,173,29630,2963,2.963,-7.37795671277601,6.71477400282662,14.0927307156026,-24.4747437912261,18.4453269421904,42.9200707334165,4511,2255,2960,2.96,18,18,18,168,168,9,9,9,122,122,122,4180,4.18,1242.3,1.2423,0.760076176815634,0.716663990385284,0.921347834644134,0.27626653263576,480,445.000231816207,32,72,20190607_slice10_trace6,20190607\_slice10\_trace6
1,baseline,100,1000,2.43840497265529,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38856839561041,3.38589208072841,29627,2962.7,2.9627,206,29631,2963.1,2.9631,-5.14424099128503,6.16631271584163,11.3105537071267,-21.7264830840335,14.0557647784184,35.7822478624519,4609,2304,2960,2.96,21.3333333333333,22.75,22.75,191,189,9,8,8,4114,129,129,4250,4.25,1312.3,1.3123,0.87579114562233,0.843817066924016,0.959183201197427,0.293194221711874,510,490.000241260753,34,76.5,20190607_slice10_trace7,20190607\_slice10\_trace7
1,baseline,100,1000,2.43840497265529,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38922071184836,3.38748269188677,29627,2962.7,2.9627,200,29631,2963.1,2.9631,-8.51570329706018,5.82028423092049,14.3359875279807,-27.9887514764651,14.8483710074099,42.8371224838751,5301,2650,2960,2.96,13.6428571428571,13.4166666666667,13.4166666666667,166,165,14,12,12,3567,126,126,4220,4.22,1282.3,1.2823,0.727136395641958,0.698012123415403,0.829457274022208,0.116776724081774,440,429.999772273389,29.3333333333333,66,20190607_slice10_trace8,20190607\_slice10\_trace8
1,baseline,100,1000,2.43840497265529,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.42463710469494,3.47384220031738,29627,2962.7,2.9627,184,29636,2963.6,2.9636,-5.33628579299645,5.59496211587145,10.9312479088679,-17.2220495464467,20.8335014079484,38.0555509543951,4403,2201,2960,2.96,11.2666666666667,12.9166666666667,12.9166666666667,165,165,15,12,12,4403,257,257,5530,5.53,2592.3,2.5923,0.887415622773519,0.78236635524478,0.726666473846519,0.202916459491037,500,500.000046801011,33.3333333333333,75,20190607_slice10_trace9,20190607\_slice10\_trace9
1,baseline,100,1000,2.43840497265529,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.36506119049816,3.32857199488945,29627,2962.7,2.9627,291,29632,2963.2,2.9632,-5.03273927136281,5.75608664130967,10.7888259126725,-23.5255989604546,13.8678791848677,37.3934781453223,3244,1622,2960,2.96,12.9090909090909,13.3809523809524,13.3809523809524,283,283,22,21,21,2234,830,830,11260,11.26,8322.3,8.3223,0.688988325107362,0.771091972769115,0.559280545834135,0.115172142613961,530,482.499924378112,35.3333333333333,79.5,20190607_slice10_trace10,20190607\_slice10\_trace10
